w_mom,w_lv,w_rsi,w_vol,train_sharpe_nosl,test_sharpe_nosl,train_sharpe_sl,test_sharpe_sl,train_cumret_sl,test_cumret_sl
0.0,0.0,0.0,1.0,0.85788566,1.7160441,4.518681,6.134046,6637.6904,2747.8088
0.0,0.0,0.05,0.9500000000000001,0.40113524,3.1174846,3.298394,6.218043,153.10316,1270.6298
0.0,0.0,0.1,0.9,0.3978665,4.298353,3.0604317,6.2330384,77.07527,1320.6255
0.0,0.0,0.15000000000000002,0.8500000000000001,-0.2788757,3.4599721,2.3178873,5.0050297,21.793709,185.9993
0.0,0.0,0.2,0.8,-0.23459017,3.3243668,2.1594615,4.814997,17.850798,172.98535
0.0,0.0,0.25,0.75,-0.01843608,3.5181875,2.3359797,5.059701,24.257772,169.81859
0.0,0.0,0.30000000000000004,0.7000000000000001,-0.21620701,3.4628415,2.0754323,5.061199,15.597246,169.61383
0.0,0.0,0.35000000000000003,0.65,-0.17762442,3.4985387,2.077996,5.266628,15.522213,203.31863
0.0,0.0,0.4,0.6000000000000001,-0.18969524,3.398188,1.9380156,5.318296,12.718716,187.51491
0.0,0.0,0.45,0.55,-0.3255792,3.1137583,1.9763502,5.302338,11.954379,123.250824
0.0,0.0,0.5,0.5,-0.23453093,2.9279473,2.0907073,5.176395,14.568777,114.46963
0.0,0.0,0.55,0.45,-0.30710134,2.855876,1.9887187,5.1480827,12.169234,110.989784
0.0,0.0,0.6000000000000001,0.4,-0.2743747,3.036044,2.063912,5.122949,13.094889,110.85225
0.0,0.0,0.65,0.35000000000000003,-0.37004933,2.7854052,1.9222255,4.988744,10.506626,86.991165
0.0,0.0,0.7000000000000001,0.30000000000000004,-0.362763,2.7538693,2.0279844,5.0573,10.322943,87.02604
0.0,0.0,0.75,0.25,-0.30066052,2.4209595,2.093904,4.8579664,11.225817,63.78167
0.0,0.0,0.8,0.2,-0.5106027,2.7470074,1.8089812,5.399301,7.340461,80.60351
0.0,0.0,0.8500000000000001,0.15000000000000002,-0.42480212,2.895438,1.8094442,5.5375648,7.2958984,93.74242
0.0,0.0,0.9,0.1,-0.38520652,3.1503894,1.8244746,5.599435,7.306739,102.07915
0.0,0.0,0.9500000000000001,0.05,-0.10494515,2.6665957,2.0681567,5.2030416,10.397341,58.21316
0.0,0.0,1.0,0.0,0.347837,1.256715,2.217577,4.0942707,15.262955,24.75965
0.0,0.05,0.0,0.9500000000000001,-0.2172966,2.0589201,1.802947,4.5770245,7.053054,67.0406
0.0,0.05,0.05,0.9,0.47538838,2.5945592,2.3508162,4.724508,14.02364,34.207886
0.0,0.05,0.1,0.8500000000000001,0.2790543,3.0241542,2.0885448,4.398951,14.377137,48.766026
0.0,0.05,0.15000000000000002,0.8,-0.1056137,3.2289484,1.8089182,4.5098734,8.977427,79.21488
