w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_mdd,te_sharpe,te_cumret,te_mdd
0.0,0.0,0.0,1.0,2.5478935,22.204235,-0.21049571,3.484914,14.513503,-0.2228438
0.0,0.0,0.05,0.9500000000000001,0.9514176,1.1334431,-0.30277944,3.1940663,9.087314,-0.22803497
0.0,0.0,0.1,0.9,0.7364291,0.6906034,-0.3084954,4.1133127,16.3204,-0.11912188
0.0,0.0,0.15000000000000002,0.8500000000000001,0.33991072,0.1769774,-0.38774532,3.3581846,7.2371492,-0.122448854
0.0,0.0,0.2,0.8,0.25538412,0.09196448,-0.38384384,3.0580597,6.134692,-0.17990477
0.0,0.0,0.25,0.75,0.45847845,0.3112601,-0.29904738,2.8010206,4.793163,-0.20770055
0.0,0.0,0.30000000000000004,0.7000000000000001,0.3089412,0.14554977,-0.2990797,2.76429,4.6297264,-0.18814893
0.0,0.0,0.35000000000000003,0.65,0.18879376,0.027595758,-0.39968526,3.0871515,6.360326,-0.18965724
0.0,0.0,0.4,0.6000000000000001,0.34468335,0.18390524,-0.40358877,3.2962146,6.9543753,-0.13948476
0.0,0.0,0.45,0.55,0.20170937,0.04166329,-0.40640226,3.2019606,6.6565304,-0.14672473
0.0,0.0,0.5,0.5,0.17469707,0.016897678,-0.39930922,3.0561059,6.0506573,-0.15298226
0.0,0.0,0.55,0.45,0.15833229,0.0027720928,-0.34721583,3.0677452,6.139259,-0.14747083
0.0,0.0,0.6000000000000001,0.4,0.18977423,0.03168106,-0.3295131,3.1456378,6.4975934,-0.14956789
0.0,0.0,0.65,0.35000000000000003,0.17305793,0.01649928,-0.3414458,3.1616247,6.4758472,-0.13084765
0.0,0.0,0.7000000000000001,0.30000000000000004,0.05223499,-0.080209196,-0.35203925,3.0668998,6.1964326,-0.14259386
0.0,0.0,0.75,0.25,0.04487164,-0.089351416,-0.3948091,2.8351457,4.854106,-0.18209355
0.0,0.0,0.8,0.2,0.1688682,0.015458345,-0.34738111,2.7052252,3.83322,-0.20891012
0.0,0.0,0.8500000000000001,0.15000000000000002,0.14258465,-0.0063806176,-0.40997428,2.5967057,3.409593,-0.21142626
0.0,0.0,0.9,0.1,0.20908467,0.05228138,-0.35726982,2.841736,3.5175505,-0.18924703
0.0,0.0,0.9500000000000001,0.05,0.2945554,0.1307826,-0.31640634,2.1879034,2.128109,-0.21450467
0.0,0.0,1.0,0.0,0.492874,0.3478818,-0.3671384,1.7819549,1.5572174,-0.18587798
0.0,0.05,0.0,0.9500000000000001,0.61140573,0.47175884,-0.35248068,3.1710114,4.6409836,-0.19710858
0.0,0.05,0.05,0.9,0.5498689,0.37966597,-0.30421525,2.7650113,3.108632,-0.1794383
0.0,0.05,0.1,0.8500000000000001,0.51528597,0.35083747,-0.27656552,3.1877694,4.406092,-0.12207953
0.0,0.05,0.15000000000000002,0.8,0.41114956,0.24671197,-0.31825224,2.8164968,3.56289,-0.14623101
0.0,0.05,0.2,0.75,0.26660195,0.10567236,-0.31788656,2.8957534,3.8051705,-0.12430131
0.0,0.05,0.25,0.7000000000000001,-0.15964292,-0.22366971,-0.4200105,2.7844982,3.6231637,-0.1523396
0.0,0.05,0.30000000000000004,0.65,0.13519445,-0.009623647,-0.28850582,2.716493,3.358498,-0.14050823
0.0,0.05,0.35000000000000003,0.6000000000000001,0.017349396,-0.098947465,-0.32483327,2.8121645,3.6353736,-0.14004284
0.0,0.05,0.4,0.55,-0.33139625,-0.32675296,-0.47370347,2.910175,3.8116136,-0.1734512
0.0,0.05,0.45,0.5,-0.009698407,-0.12013239,-0.38349888,2.910858,3.7662106,-0.1756682
0.0,0.05,0.5,0.45,-0.24740094,-0.26611042,-0.46467337,2.6435688,2.9647706,-0.16804847
0.0,0.05,0.55,0.4,-0.09280941,-0.16937995,-0.42749542,2.368844,2.4391525,-0.1698963
0.0,0.05,0.6000000000000001,0.35000000000000003,-0.07101458,-0.14940733,-0.4173392,2.4959252,2.679695,-0.15073776
0.0,0.05,0.65,0.30000000000000004,-0.1263474,-0.18696445,-0.44375822,2.4568107,2.658958,-0.15439537
0.0,0.05,0.7000000000000001,0.25,-0.2088345,-0.23459572,-0.44857204,2.1668715,2.0142164,-0.18649459
0.0,0.05,0.75,0.2,0.102229156,-0.028951526,-0.39477667,2.2739697,1.8859036,-0.20804112
0.0,0.05,0.8,0.15000000000000002,0.30686045,0.14146852,-0.29590622,1.9850106,1.484734,-0.23320143
0.0,0.05,0.8500000000000001,0.1,0.28783482,0.12441623,-0.29701284,2.1815097,1.6337745,-0.19025809
0.0,0.05,0.9,0.05,-0.20334753,-0.21036285,-0.4385086,1.4772158,0.86492693,-0.23488788
0.0,0.05,0.9500000000000001,0.0,0.6423409,0.44225526,-0.3816933,1.4292642,0.78404725,-0.21358648
0.0,0.1,0.0,0.9,0.26638353,0.10476196,-0.29878873,2.5488274,2.4299371,-0.15580058
0.0,0.1,0.05,0.8500000000000001,0.29681703,0.12574065,-0.30078083,2.4579868,1.9223633,-0.119899265
0.0,0.1,0.1,0.8,0.06390518,-0.0384807,-0.4002926,2.461202,2.0719137,-0.10181056
0.0,0.1,0.15000000000000002,0.75,-0.18347405,-0.19120282,-0.43094358,2.3466165,2.095531,-0.18022668
0.0,0.1,0.2,0.7000000000000001,-0.40786088,-0.3187456,-0.5228398,2.8541884,2.9936502,-0.15847757
0.0,0.1,0.25,0.65,-0.20465578,-0.20735204,-0.42947263,2.73987,2.8935394,-0.14935833
0.0,0.1,0.30000000000000004,0.6000000000000001,-0.101364955,-0.14852822,-0.39024132,2.6365201,2.6372344,-0.131042
0.0,0.1,0.35000000000000003,0.55,-0.28425705,-0.2545907,-0.42867923,2.2356162,1.8029914,-0.15493704
0.0,0.1,0.4,0.5,-0.3080807,-0.2646458,-0.39873335,1.9757552,1.6041498,-0.1522444
0.0,0.1,0.45,0.45,-0.19558193,-0.19741267,-0.32918504,2.2411392,1.9837501,-0.15818338
0.0,0.1,0.5,0.4,-0.25620708,-0.23718911,-0.39102933,2.0726824,1.5170066,-0.16772649
0.0,0.1,0.55,0.35000000000000003,-0.14176711,-0.16900355,-0.3530173,2.2329054,1.6938148,-0.13685054
0.0,0.1,0.6000000000000001,0.30000000000000004,-0.018154796,-0.09313053,-0.35313123,1.993479,1.3831954,-0.14895391
0.0,0.1,0.65,0.25,-0.024293004,-0.09462398,-0.32284802,1.6289212,0.9492328,-0.17451659
0.0,0.1,0.7000000000000001,0.2,-0.0026495315,-0.07852256,-0.29902777,1.294293,0.6589494,-0.18723851
0.0,0.1,0.75,0.15000000000000002,-0.014624423,-0.086755276,-0.3594501,1.4336628,0.744702,-0.16277944
0.0,0.1,0.8,0.1,0.29112193,0.12149942,-0.27901465,1.5842855,0.84271467,-0.15483195
0.0,0.1,0.8500000000000001,0.05,0.290799,0.11987448,-0.3101881,1.057146,0.42748153,-0.17378058
0.0,0.1,0.9,0.0,0.6212434,0.39003873,-0.29192898,1.424207,0.6945455,-0.18022497
0.0,0.15000000000000002,0.0,0.8500000000000001,0.2818127,0.11260438,-0.28853163,2.061109,1.5317433,-0.15932803
0.0,0.15000000000000002,0.05,0.8,0.21170495,0.06582856,-0.31766605,2.0305858,1.320349,-0.14232296
0.0,0.15000000000000002,0.1,0.75,-0.13227393,-0.13958997,-0.40803286,2.0547414,1.391115,-0.11512072
0.0,0.15000000000000002,0.15000000000000002,0.7000000000000001,0.09151886,-0.011798322,-0.3016614,1.9951614,1.2989473,-0.12831894
0.0,0.15000000000000002,0.2,0.65,0.030341918,-0.05253452,-0.36480305,2.238782,1.5800016,-0.15625802
0.0,0.15000000000000002,0.25,0.6000000000000001,-0.08251849,-0.11965978,-0.31445408,2.1779263,1.730931,-0.14802685
0.0,0.15000000000000002,0.30000000000000004,0.55,-0.049716286,-0.10247117,-0.32352698,2.1353467,1.4019198,-0.15255536
0.0,0.15000000000000002,0.35000000000000003,0.5,-0.05576859,-0.106526196,-0.33039042,2.3039155,1.5921423,-0.114762366
0.0,0.15000000000000002,0.4,0.45,0.062494166,-0.031867743,-0.36963305,1.9764086,1.2209611,-0.12518197
0.0,0.15000000000000002,0.45,0.4,-0.03235873,-0.08874303,-0.40349236,2.0413651,1.286525,-0.12266462
0.0,0.15000000000000002,0.5,0.35000000000000003,0.24004087,0.08501661,-0.36560902,2.0787551,1.2728412,-0.12421195
0.0,0.15000000000000002,0.55,0.30000000000000004,0.14552824,0.020456553,-0.35108513,2.0209203,1.2320137,-0.1414159
0.0,0.15000000000000002,0.6000000000000001,0.25,0.16260204,0.03196895,-0.3513531,1.8282,1.0627704,-0.12679449
0.0,0.15000000000000002,0.65,0.2,0.33868167,0.15529966,-0.29779938,1.7520332,0.9583044,-0.12270981
0.0,0.15000000000000002,0.7000000000000001,0.15000000000000002,0.39923814,0.19647717,-0.2592593,1.5279568,0.7701744,-0.14683206
0.0,0.15000000000000002,0.75,0.1,0.44015428,0.22716022,-0.3017003,1.626856,0.80149996,-0.14695415
0.0,0.15000000000000002,0.8,0.05,0.61917347,0.36090076,-0.26329976,1.1868985,0.4768561,-0.1429762
0.0,0.15000000000000002,0.8500000000000001,0.0,0.46553367,0.23271942,-0.22803625,0.85519576,0.32039738,-0.15806314
0.0,0.2,0.0,0.8,0.33844385,0.15080762,-0.2823654,1.6243968,0.99118316,-0.14208253
0.0,0.2,0.05,0.75,-0.20990215,-0.15719628,-0.3496396,1.2907617,0.63359475,-0.14449051
0.0,0.2,0.1,0.7000000000000001,0.13799271,0.020471096,-0.37342846,2.0435934,1.2332592,-0.12172417
0.0,0.2,0.15000000000000002,0.65,0.40569502,0.20045626,-0.34319586,1.9538872,1.245075,-0.15392855
0.0,0.2,0.2,0.6000000000000001,0.114493795,0.003495574,-0.35062236,1.9450597,1.223458,-0.14772104
0.0,0.2,0.25,0.55,-0.27077544,-0.212466,-0.40302643,1.8156792,1.013907,-0.12286093
0.0,0.2,0.30000000000000004,0.5,-0.118185245,-0.12949169,-0.38602275,1.849559,1.0512638,-0.14068766
0.0,0.2,0.35000000000000003,0.45,0.17396434,0.04112327,-0.37446088,1.6426233,0.85977733,-0.13526115
0.0,0.2,0.4,0.4,0.10133957,-0.005304277,-0.406381,1.4718115,0.71437514,-0.12211811
0.0,0.2,0.45,0.35000000000000003,0.3175309,0.13660085,-0.3090269,1.5052439,0.7320155,-0.129067
0.0,0.2,0.5,0.30000000000000004,0.2768455,0.10879922,-0.31661075,1.8459005,1.0239034,-0.13451128
0.0,0.2,0.55,0.25,0.28560764,0.1148386,-0.30566642,2.007111,1.1484263,-0.13709912
0.0,0.2,0.6000000000000001,0.2,0.48226103,0.25386143,-0.28011885,1.5857344,0.7972772,-0.12856236
0.0,0.2,0.65,0.15000000000000002,0.5663137,0.32163477,-0.30261952,1.3697586,0.61446714,-0.11985581
0.0,0.2,0.7000000000000001,0.1,0.5796919,0.32643104,-0.27023587,1.3753339,0.5870843,-0.13962427
0.0,0.2,0.75,0.05,0.07380376,-0.013447225,-0.3851449,1.1744509,0.45370495,-0.15732872
0.0,0.2,0.8,0.0,0.4227064,0.19452739,-0.26338273,0.7401357,0.25981033,-0.1415975
0.0,0.25,0.0,0.75,0.33253047,0.1414392,-0.25766182,1.6184015,0.96250355,-0.17556527
0.0,0.25,0.05,0.7000000000000001,-0.26163918,-0.17840463,-0.37739363,1.5283281,0.78815293,-0.13763851
0.0,0.25,0.1,0.65,0.18868166,0.051626086,-0.37300262,1.4867207,0.72394884,-0.13214135
0.0,0.25,0.15000000000000002,0.6000000000000001,0.3014047,0.12477827,-0.3426767,1.5906684,0.7952908,-0.13935177
0.0,0.25,0.2,0.55,0.31741935,0.13607073,-0.3562496,1.613805,0.78454673,-0.120673716
0.0,0.25,0.25,0.5,-0.037115432,-0.08184582,-0.41865677,1.4718556,0.7023294,-0.14504452
0.0,0.25,0.30000000000000004,0.45,-0.007103704,-0.06364453,-0.41611302,1.6062996,0.7910452,-0.12774035
0.0,0.25,0.35000000000000003,0.4,0.27517098,0.10658181,-0.35740837,1.4886802,0.69408154,-0.1220853
0.0,0.25,0.4,0.35000000000000003,0.2647873,0.09951353,-0.3132023,1.3024246,0.5677717,-0.12063464
0.0,0.25,0.45,0.30000000000000004,0.46954826,0.24085665,-0.3206328,1.4742105,0.67666006,-0.12662338
0.0,0.25,0.5,0.25,0.48950043,0.25578034,-0.2768028,1.6524497,0.8124851,-0.12895499
0.0,0.25,0.55,0.2,0.55902684,0.30766416,-0.26291755,1.4580694,0.6975882,-0.14623563
0.0,0.25,0.6000000000000001,0.15000000000000002,0.34750283,0.15153623,-0.26608086,1.263698,0.5384501,-0.14481863
0.0,0.25,0.65,0.1,0.18338734,0.04812038,-0.34466183,1.2504685,0.51034296,-0.14103723
0.0,0.25,0.7000000000000001,0.05,0.051949386,-0.023612142,-0.33585754,1.191505,0.46776485,-0.15066944
0.0,0.25,0.75,0.0,0.40587434,0.1774559,-0.24897316,0.6383879,0.2062074,-0.15287769
0.0,0.30000000000000004,0.0,0.7000000000000001,0.16046685,0.035810947,-0.2331154,1.5320913,0.8332238,-0.17883606
0.0,0.30000000000000004,0.05,0.65,0.06447439,-0.017027378,-0.3479776,1.5533395,0.78033674,-0.13450912
0.0,0.30000000000000004,0.1,0.6000000000000001,0.23080897,0.07652807,-0.33163404,1.1912133,0.5115609,-0.124267265
0.0,0.30000000000000004,0.15000000000000002,0.55,0.45423758,0.22173715,-0.31476164,1.7073858,0.8462807,-0.12656106
0.0,0.30000000000000004,0.2,0.5,0.2273967,0.07537162,-0.3594436,1.6642817,0.80639863,-0.12613015
0.0,0.30000000000000004,0.25,0.45,0.16402224,0.03642702,-0.37684447,1.3482395,0.60467637,-0.12550357
0.0,0.30000000000000004,0.30000000000000004,0.4,-0.039340835,-0.07804328,-0.39621148,1.4684072,0.6784226,-0.1251797
0.0,0.30000000000000004,0.35000000000000003,0.35000000000000003,0.26941457,0.1006794,-0.3027399,1.3105024,0.56579185,-0.11953369
0.0,0.30000000000000004,0.4,0.30000000000000004,0.40849888,0.192662,-0.3127349,1.1785499,0.4874308,-0.12707661
0.0,0.30000000000000004,0.45,0.25,0.7602315,0.4657129,-0.2283478,1.3093916,0.57978964,-0.13092348
0.0,0.30000000000000004,0.5,0.2,0.3610688,0.16195941,-0.28267217,1.2396879,0.5249287,-0.12969199
0.0,0.30000000000000004,0.55,0.15000000000000002,-0.030895025,-0.06495905,-0.33427253,1.1536125,0.46256387,-0.1440774
0.0,0.30000000000000004,0.6000000000000001,0.1,-0.23182751,-0.15706861,-0.38387895,1.1723437,0.46017063,-0.12145311
0.0,0.30000000000000004,0.65,0.05,0.03279733,-0.03033787,-0.31922498,1.0091646,0.36971962,-0.13067092
0.0,0.30000000000000004,0.7000000000000001,0.0,0.23737492,0.07784581,-0.29486713,1.2844586,0.5248388,-0.13055058
0.0,0.35000000000000003,0.0,0.65,-0.2022618,-0.13123602,-0.22705147,1.6556954,0.888577,-0.13374469
0.0,0.35000000000000003,0.05,0.6000000000000001,0.02694423,-0.03219551,-0.3483016,1.5111886,0.72174346,-0.128538
0.0,0.35000000000000003,0.1,0.55,0.020526528,-0.039789796,-0.37878668,1.1774474,0.49263787,-0.12796637
0.0,0.35000000000000003,0.15000000000000002,0.5,0.41304815,0.19104314,-0.31974104,1.6641762,0.7831627,-0.13220628
0.0,0.35000000000000003,0.2,0.45,0.4771959,0.24006867,-0.30739364,1.6767175,0.8084867,-0.1365365
0.0,0.35000000000000003,0.25,0.4,0.34293723,0.14851189,-0.35131076,1.2844296,0.5454962,-0.12164974
0.0,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.34201694,0.1468612,-0.3171241,1.4107774,0.6159221,-0.13683075
0.0,0.35000000000000003,0.35000000000000003,0.30000000000000004,0.25939146,0.09446037,-0.3332899,1.0647615,0.418298,-0.14885958
0.0,0.35000000000000003,0.4,0.25,0.3685781,0.1600672,-0.30429485,0.9955374,0.3892157,-0.15712637
0.0,0.35000000000000003,0.45,0.2,0.20725775,0.062484264,-0.3029623,0.9260605,0.34148252,-0.12723477
0.0,0.35000000000000003,0.5,0.15000000000000002,0.015772853,-0.038502216,-0.34849668,1.0231956,0.38837945,-0.14599785
0.0,0.35000000000000003,0.55,0.1,-0.19690323,-0.13688159,-0.34412342,1.0462518,0.38605678,-0.135918
0.0,0.35000000000000003,0.6000000000000001,0.05,-0.11413663,-0.09879923,-0.34338993,1.1102593,0.41381204,-0.12536018
0.0,0.35000000000000003,0.65,0.0,0.1316141,0.021707058,-0.29487675,1.1649007,0.44556403,-0.12045033
0.0,0.4,0.0,0.6000000000000001,-0.18903123,-0.1197055,-0.20672655,1.4835682,0.67109454,-0.13184059
0.0,0.4,0.05,0.55,0.08734143,-0.0012462139,-0.33645645,1.3845754,0.592662,-0.1414888
0.0,0.4,0.1,0.5,0.20110065,0.05875516,-0.3636321,1.4002241,0.6175611,-0.14962289
0.0,0.4,0.15000000000000002,0.45,0.1348695,0.021579266,-0.37311402,1.6896223,0.79350626,-0.13485152
0.0,0.4,0.2,0.4,0.53037333,0.27294302,-0.34266433,2.0255606,1.042872,-0.10964157
0.0,0.4,0.25,0.35000000000000003,0.6203778,0.33993983,-0.2926505,1.0307099,0.39284027,-0.14210765
0.0,0.4,0.30000000000000004,0.30000000000000004,0.24301706,0.083149195,-0.33801398,0.8944809,0.3268875,-0.1256637
0.0,0.4,0.35000000000000003,0.25,0.23341858,0.077127695,-0.3511987,0.8016738,0.28063118,-0.14064734
0.0,0.4,0.4,0.2,-0.018635035,-0.05400145,-0.31602246,0.74355364,0.24909472,-0.16924545
0.0,0.4,0.45,0.15000000000000002,0.031618442,-0.02892363,-0.34591088,1.0819399,0.40891623,-0.15143469
0.0,0.4,0.5,0.1,-0.12553544,-0.10177255,-0.33814508,0.8667261,0.2947582,-0.14293881
0.0,0.4,0.55,0.05,-0.17489254,-0.12033522,-0.32886133,1.043328,0.37548447,-0.13046303
0.0,0.4,0.6000000000000001,0.0,0.17036954,0.041606903,-0.29611725,1.0545223,0.3816805,-0.11935663
0.0,0.45,0.0,0.55,-0.32136104,-0.16724741,-0.27707055,1.3407546,0.57625544,-0.13398577
0.0,0.45,0.05,0.5,-0.38692418,-0.1929586,-0.40551853,1.3987976,0.58960366,-0.12851246
0.0,0.45,0.1,0.45,0.005946397,-0.042747438,-0.37953138,1.4253459,0.6059532,-0.11691163
0.0,0.45,0.15000000000000002,0.4,0.03560881,-0.03071487,-0.3461679,1.8288019,0.86772346,-0.11759653
0.0,0.45,0.2,0.35000000000000003,0.3920668,0.17711425,-0.35252222,1.4221215,0.5892805,-0.1250932
0.0,0.45,0.25,0.30000000000000004,0.39497113,0.17391348,-0.28291097,1.1190523,0.429044,-0.11346144
0.0,0.45,0.30000000000000004,0.25,0.11979326,0.014260054,-0.3391722,1.0060824,0.37418425,-0.1382203
0.0,0.45,0.35000000000000003,0.2,0.03327921,-0.02566117,-0.3021144,0.96769905,0.34915924,-0.15117218
0.0,0.45,0.4,0.15000000000000002,0.12325465,0.018001676,-0.28805137,0.7606731,0.2548132,-0.15793557
0.0,0.45,0.45,0.1,-0.22463968,-0.14367276,-0.34343672,0.9019746,0.30878842,-0.12213493
0.0,0.45,0.5,0.05,-0.19080293,-0.12286043,-0.3452259,0.86012113,0.2872783,-0.14621897
0.0,0.45,0.55,0.0,-0.006224277,-0.041470826,-0.34224856,1.0916141,0.40878904,-0.13293359
0.0,0.5,0.0,0.5,-0.2588622,-0.1418333,-0.29338643,1.4164238,0.5996766,-0.13184056
0.0,0.5,0.05,0.45,-0.25576943,-0.13916934,-0.34069866,1.4357224,0.5977135,-0.12275212
