w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_annual,tr_mdd,te_sharpe,te_cumret,te_annual,te_mdd,te_winrate
0.0,0.0,0.0,1.0,2.4394288,19.034565,1.9063332,-0.21475658,3.3997762,13.418509,5.096423,-0.22520465,0.5188172
0.0,0.0,0.05,0.9500000000000001,0.76622504,0.78307724,0.22856903,-0.30951697,3.0672896,8.12946,3.47326,-0.23193148,0.5268817
0.0,0.0,0.1,0.9,0.5383152,0.41140985,0.13048911,-0.32551917,3.983531,14.756851,5.4742427,-0.122333206,0.55376345
0.0,0.0,0.15000000000000002,0.8500000000000001,0.14037919,-0.012637734,-0.0045166016,-0.40127406,3.2153876,6.491877,2.912593,-0.13003293,0.52956986
0.0,0.0,0.2,0.8,0.054146573,-0.088175476,-0.032321453,-0.4134124,2.9226851,5.500681,2.5539725,-0.18616898,0.52150536
0.0,0.0,0.25,0.75,0.25913954,0.09516382,0.032884717,-0.32986495,2.6616156,4.272805,2.084076,-0.21518186,0.52956986
0.0,0.0,0.30000000000000004,0.7000000000000001,0.105638385,-0.045377612,-0.016393423,-0.33416018,2.6262164,4.130049,2.0272624,-0.1943588,0.516129
0.0,0.0,0.35000000000000003,0.65,-0.01270911,-0.14398998,-0.053834617,-0.42905745,2.9544182,5.71209,2.631863,-0.19602111,0.5241935
0.0,0.0,0.4,0.6000000000000001,0.143903,-0.0148255825,-0.0053023696,-0.43517658,3.156542,6.2438,2.8243527,-0.14570431,0.54569894
0.0,0.0,0.45,0.55,-0.009865957,-0.13637519,-0.05084741,-0.4385404,3.0643828,5.976252,2.7280867,-0.15084787,0.53763443
0.0,0.0,0.5,0.5,-0.03802787,-0.15774375,-0.0592739,-0.42916262,2.9222887,5.434364,2.5293715,-0.15690416,0.5268817
0.0,0.0,0.55,0.45,-0.050971802,-0.1664902,-0.06276268,-0.378756,2.9310338,5.502067,2.5544858,-0.15346977,0.53494626
0.0,0.0,0.6000000000000001,0.4,-0.020375753,-0.14208895,-0.053087294,-0.40337095,3.0086548,5.8297544,2.6748714,-0.15807897,0.53763443
0.0,0.0,0.65,0.35000000000000003,-0.03676654,-0.15472287,-0.058074355,-0.41436082,3.019711,5.789987,2.6603627,-0.13901654,0.54569894
0.0,0.0,0.7000000000000001,0.30000000000000004,-0.16910715,-0.23855561,-0.09244865,-0.42549962,2.930192,5.54927,2.571946,-0.14444381,0.54569894
0.0,0.0,0.75,0.25,-0.17256103,-0.24631423,-0.09575093,-0.46204683,2.6940317,4.324398,2.1044862,-0.18865183,0.53763443
0.0,0.0,0.8,0.2,-0.05330229,-0.16105717,-0.06059277,-0.42184868,2.5499613,3.384376,1.7217033,-0.2151094,0.54569894
0.0,0.0,0.8500000000000001,0.15000000000000002,-0.07985366,-0.17838228,-0.06754428,-0.47190148,2.4376345,2.9981759,1.556895,-0.21745822,0.5430108
0.0,0.0,0.9,0.1,-0.021118943,-0.13399601,-0.04991746,-0.42746267,2.6654637,3.0903254,1.5966694,-0.19358674,0.5510753
0.0,0.0,0.9500000000000001,0.05,0.07191126,-0.068804085,-0.02505368,-0.33201888,2.0094225,1.8269124,1.0217514,-0.22316541,0.5188172
0.0,0.0,1.0,0.0,0.27281797,0.10937214,0.03763461,-0.42254898,1.6144648,1.3164711,0.7666104,-0.18788262,0.5322581
0.0,0.05,0.0,0.9500000000000001,0.40098435,0.23668015,0.07854271,-0.38303977,3.026551,4.182871,2.048343,-0.20499608,0.5430108
0.0,0.05,0.05,0.9,0.31615785,0.14967144,0.050897002,-0.35365215,2.5962949,2.7439163,1.4455822,-0.18456012,0.53763443
