situation,momentum_col,vol_col,mode,return_col,top_n,min_dollar_volume,min_abs_momentum,objective,train_test_return_gap_pct,train_test_sharpe_gap,train_days,train_active_days,train_total_trades,train_final_value_krw,train_total_return_pct,train_cagr_pct,train_max_drawdown_pct,train_sharpe,train_win_rate_pct,train_profit_factor,test_days,test_active_days,test_total_trades,test_final_value_krw,test_total_return_pct,test_cagr_pct,test_max_drawdown_pct,test_sharpe,test_win_rate_pct,test_profit_factor
down_high_vol,mom_1d,vol_20d,reversal,cc_next_ret,3,100000000,0.0,-0.0032,54.85,11.742,200,200,600,702735.52,-29.73,-11.48,-42.94,-0.662,46.5,0.896,6,6,18,1251206.32,25.12,42.09,-1.38,11.08,50.0,8.01
down_high_vol,mom_5d,vol_20d,reversal,cc_next_ret,3,100000000,0.03,-0.0639,35.85,10.904,200,198,594,751118.76,-24.89,-9.42,-52.47,-0.564,43.94,0.907,6,6,18,1109575.44,10.96,17.7,-0.21,10.34,66.67,5.095
down_high_vol,mom_5d,vol_20d,reversal,cc_next_ret,3,100000000,0.0,-0.0996,36.56,10.929,200,199,596,744048.84,-25.6,-9.71,-52.54,-0.589,44.22,0.903,6,6,18,1109575.44,10.96,17.7,-0.21,10.34,66.67,5.095
down_high_vol,mom_1d,vol_20d,reversal,cc_next_ret,10,100000000,0.03,-0.2002,34.6,11.465,200,200,1864,716714.42,-28.33,-10.87,-45.63,-0.943,46.5,0.857,6,6,60,1062732.69,6.27,10.01,0.0,10.522,83.33,4.247
down_high_vol,mom_1d,vol_20d,reversal,cc_next_ret,10,100000000,0.0,-0.3217,34.56,11.577,200,200,1989,719705.61,-28.03,-10.74,-46.87,-1.038,46.0,0.843,6,6,60,1065310.79,6.53,10.43,0.0,10.539,83.33,4.378
down_high_vol,mom_20d,vol_20d,reversal,cc_next_ret,3,100000000,0.0,-0.454,42.41,12.033,200,200,600,668319.43,-33.17,-13.0,-53.26,-0.927,44.5,0.851,6,6,18,1092426.9,9.24,14.86,0.0,11.106,83.33,5.141
down_high_vol,mom_20d,vol_20d,reversal,cc_next_ret,3,100000000,0.03,-0.454,42.41,12.033,200,200,600,668319.43,-33.17,-13.0,-53.26,-0.927,44.5,0.851,6,6,18,1092426.9,9.24,14.86,0.0,11.106,83.33,5.141
down_high_vol,mom_1d,vol_20d,reversal,cc_next_ret,3,100000000,0.03,-0.6526,65.57,11.704,200,200,590,589186.12,-41.08,-16.71,-49.64,-1.025,46.5,0.843,6,6,18,1244938.29,24.49,40.98,-1.88,10.679,50.0,6.981
down_high_vol,mom_20d,vol_20d,reversal,cc_next_ret,10,100000000,0.0,-1.4343,39.75,6.962,200,200,1994,653644.39,-34.64,-13.66,-47.21,-1.31,44.5,0.804,6,6,60,1051096.94,5.11,8.13,-0.49,5.652,66.67,2.444
down_high_vol,mom_20d,vol_20d,reversal,cc_next_ret,10,100000000,0.03,-1.4343,39.75,6.962,200,200,1994,653644.39,-34.64,-13.66,-47.21,-1.31,44.5,0.804,6,6,60,1051096.94,5.11,8.13,-0.49,5.652,66.67,2.444
