status,rows,first_date,last_date,final_value_krw,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,trades,profit_factor,buyhold_return_pct,invested_days_pct,outperformed_buyhold,code,name,market,yfinance_symbol,violations
PASS,974.0,2022-01-04,2025-12-30,519576.43,-48.04,-15.15,-79.18,-0.01,21.0,0.997,-40.3,43.33,False,340360,다보링크,KOSDAQ,340360.KQ,
PASS,974.0,2022-01-04,2025-12-30,1021323.92,2.13,0.53,-26.06,0.133,16.0,1.035,-15.88,47.02,True,126560,현대퓨처넷,KOSPI,126560.KS,
PASS,535.0,2023-10-19,2025-12-30,657933.24,-34.21,-17.34,-71.53,-0.011,10.0,0.997,-14.98,48.79,False,416180,신성에스티,KOSDAQ,416180.KQ,
PASS,974.0,2022-01-04,2025-12-30,375448.04,-62.46,-21.79,-71.94,-0.654,21.0,0.825,-68.96,38.4,True,042420,네오위즈홀딩스,KOSDAQ,042420.KQ,
PASS,974.0,2022-01-04,2025-12-30,979972.43,-2.0,-0.51,-66.18,0.171,17.0,1.054,-66.02,36.76,True,011690,와이투솔루션,KOSPI,011690.KS,
PASS,974.0,2022-01-04,2025-12-30,312595.46,-68.74,-25.3,-72.56,-0.97,31.0,0.779,-20.01,44.05,False,011780,금호석유화학,KOSPI,011780.KS,
PASS,638.0,2023-05-17,2025-12-30,619956.22,-38.0,-16.66,-40.46,-0.922,13.0,0.662,-12.53,44.2,False,446840,지슨,KOSDAQ,446840.KQ,
PASS,974.0,2022-01-04,2025-12-30,676102.49,-32.39,-9.35,-37.52,-0.494,12.0,0.835,-55.05,27.93,True,043650,국순당,KOSDAQ,043650.KQ,
PASS,974.0,2022-01-04,2025-12-30,232000.1,-76.8,-30.68,-77.71,-1.38,14.0,0.386,-34.25,12.42,False,041590,플래스크,KOSDAQ,041590.KQ,
PASS,974.0,2022-01-04,2025-12-30,1360146.45,36.01,8.02,-52.97,0.386,17.0,1.139,50.41,40.45,False,012030,DB,KOSPI,012030.KS,
PASS,279.0,2024-11-06,2025-12-30,838315.88,-16.17,-14.25,-16.31,-2.008,6.0,0.414,-52.43,15.41,True,475560,더본코리아,KOSPI,475560.KS,
PASS,974.0,2022-01-04,2025-12-30,344697.42,-65.53,-23.45,-70.04,-0.971,12.0,0.666,-88.81,18.07,True,106080,케이이엠텍,KOSDAQ,106080.KQ,
PASS,974.0,2022-01-04,2025-12-30,606089.41,-39.39,-11.8,-45.03,-0.315,20.0,0.89,-38.7,36.45,False,014910,성문전자,KOSPI,014910.KS,
PASS,974.0,2022-01-04,2025-12-30,1341491.94,34.15,7.65,-36.9,0.393,18.0,1.158,12.94,33.16,True,015590,DKME,KOSPI,015590.KS,
PASS,974.0,2022-01-04,2025-12-30,637416.22,-36.26,-10.68,-60.31,0.055,16.0,1.023,-54.72,27.1,True,082660,코스나인,KOSDAQ,082660.KQ,
PASS,974.0,2022-01-04,2025-12-30,672047.63,-32.8,-9.49,-46.22,-0.465,21.0,0.872,-13.95,40.76,False,140520,대창스틸,KOSDAQ,140520.KQ,
PASS,86.0,2025-08-22,2025-12-30,1000000.0,0.0,0.0,0.0,0.0,0.0,,-43.29,0.0,True,397810,애드포러스,KOSDAQ,397810.KQ,
PASS,974.0,2022-01-04,2025-12-30,724242.19,-27.58,-7.77,-47.76,-0.023,15.0,0.992,-38.98,46.61,True,053800,안랩,KOSDAQ,053800.KQ,
