total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,strategy,train_end,trade_year,max_notional,max_positions,daily_avg_pct_252,target_05pct_day
1.85,-12.94,33,13,39.39,0.5085,1018500.49,1000000,30.0,19836.49,base,2023,2024,100000,4,0.007341269841269841,False
27.42,-13.5,52,21,40.38,2.3688,1274219.67,1000000,30.0,32003.68,base,2023,2024,100000,6,0.10880952380952381,False
31.35,-15.55,67,28,41.79,2.6277,1313520.02,1000000,30.0,40781.7,base,2023,2024,100000,8,0.1244047619047619,False
6.15,-14.69,33,13,39.39,1.0388,1061547.02,1000000,30.0,29686.65,base,2023,2024,150000,4,0.024404761904761905,False
8.38,-16.42,52,23,44.23,1.3015,1083826.66,1000000,30.0,42715.95,base,2023,2024,150000,6,0.03325396825396826,False
11.25,-19.58,67,31,46.27,1.5667,1112493.69,1000000,30.0,48073.61,base,2023,2024,150000,8,0.044642857142857144,False
6.9,-16.99,33,13,39.39,1.0443,1069018.54,1000000,30.0,34791.58,base,2023,2024,200000,4,0.02738095238095238,False
7.72,-21.76,52,21,40.38,1.1025,1077200.24,1000000,30.0,45147.58,base,2023,2024,200000,6,0.030634920634920633,False
11.21,-20.16,67,30,44.78,1.507,1112111.93,1000000,30.0,49628.24,base,2023,2024,200000,8,0.04448412698412699,False
6.35,-18.02,33,13,39.39,0.9583,1063462.1,1000000,30.0,36347.65,base,2023,2024,300000,4,0.025198412698412696,False
6.57,-23.3,52,21,40.38,0.9382,1065733.58,1000000,30.0,46270.89,base,2023,2024,300000,6,0.026071428571428572,False
13.76,-20.13,67,30,44.78,1.7349,1137634.29,1000000,30.0,50830.75,base,2023,2024,300000,8,0.054603174603174605,False
6.27,-18.08,33,13,39.39,0.9492,1062679.37,1000000,30.0,36362.78,base,2023,2024,500000,4,0.02488095238095238,False
6.36,-23.45,52,21,40.38,0.9159,1063645.68,1000000,30.0,46278.1,base,2023,2024,500000,6,0.02523809523809524,False
13.3,-20.46,67,30,44.78,1.684,1133031.96,1000000,30.0,50794.84,base,2023,2024,500000,8,0.05277777777777778,False
0.76,-10.89,38,13,34.21,0.2801,1007581.48,1000000,30.0,22822.04,fusion_hybrid_a0p5,2023,2024,100000,4,0.003015873015873016,False
1.89,-9.99,57,22,38.6,0.4753,1018888.4,1000000,30.0,34329.51,fusion_hybrid_a0p5,2023,2024,100000,6,0.0075,False
-10.45,-18.54,79,31,39.24,-1.4897,895530.12,1000000,30.0,44519.95,fusion_hybrid_a0p5,2023,2024,100000,8,-0.04146825396825397,False
-2.08,-15.31,39,14,35.9,-0.114,979190.66,1000000,30.0,32924.0,fusion_hybrid_a0p5,2023,2024,150000,4,-0.008253968253968255,False
-1.57,-10.63,58,22,37.93,-0.0666,984310.94,1000000,30.0,41414.59,fusion_hybrid_a0p5,2023,2024,150000,6,-0.006230158730158731,False
-9.51,-14.6,77,31,40.26,-1.2899,904914.08,1000000,30.0,45562.74,fusion_hybrid_a0p5,2023,2024,150000,8,-0.03773809523809524,False
-1.72,-15.23,39,14,35.9,-0.0566,982774.19,1000000,30.0,34867.96,fusion_hybrid_a0p5,2023,2024,200000,4,-0.006825396825396826,False
-7.94,-12.08,58,22,37.93,-1.0423,920583.46,1000000,30.0,42124.44,fusion_hybrid_a0p5,2023,2024,200000,6,-0.03150793650793651,False
-9.15,-14.85,75,30,40.0,-1.2426,908458.36,1000000,30.0,45299.78,fusion_hybrid_a0p5,2023,2024,200000,8,-0.03630952380952381,False
-0.82,-15.57,39,14,35.9,0.0774,991838.67,1000000,30.0,35780.97,fusion_hybrid_a0p5,2023,2024,300000,4,-0.003253968253968254,False
-7.11,-12.55,58,22,37.93,-0.8887,928936.32,1000000,30.0,42943.17,fusion_hybrid_a0p5,2023,2024,300000,6,-0.028214285714285716,False
-5.96,-13.92,75,31,41.33,-0.6963,940388.28,1000000,30.0,46382.47,fusion_hybrid_a0p5,2023,2024,300000,8,-0.02365079365079365,False
-0.82,-15.57,39,14,35.9,0.0774,991838.67,1000000,30.0,35780.97,fusion_hybrid_a0p5,2023,2024,500000,4,-0.003253968253968254,False
-7.11,-12.55,58,22,37.93,-0.8887,928936.32,1000000,30.0,42943.17,fusion_hybrid_a0p5,2023,2024,500000,6,-0.028214285714285716,False
-5.96,-13.92,75,31,41.33,-0.6963,940388.28,1000000,30.0,46382.47,fusion_hybrid_a0p5,2023,2024,500000,8,-0.02365079365079365,False
-7.96,-9.52,39,13,33.33,-1.7461,920440.56,1000000,30.0,23169.61,fusion_rerank,2023,2024,100000,4,-0.03158730158730159,False
-13.19,-15.08,66,21,31.82,-2.4521,868110.36,1000000,30.0,38931.55,fusion_rerank,2023,2024,100000,6,-0.05234126984126984,False
-6.11,-12.98,90,33,36.67,-0.8214,938908.18,1000000,30.0,49403.71,fusion_rerank,2023,2024,100000,8,-0.024246031746031748,False
-14.07,-14.07,39,14,35.9,-2.2929,859329.14,1000000,30.0,31634.11,fusion_rerank,2023,2024,150000,4,-0.05583333333333333,False
-22.37,-22.37,67,20,29.85,-4.1568,776337.99,1000000,30.0,41930.68,fusion_rerank,2023,2024,150000,6,-0.08876984126984128,False
-15.16,-15.16,90,32,35.56,-2.4154,848382.35,1000000,30.0,48746.18,fusion_rerank,2023,2024,150000,8,-0.06015873015873016,False
-16.26,-16.26,39,13,33.33,-2.6691,837415.06,1000000,30.0,32593.82,fusion_rerank,2023,2024,200000,4,-0.06452380952380952,False
-23.38,-23.38,67,20,29.85,-4.3572,766207.57,1000000,30.0,41976.63,fusion_rerank,2023,2024,200000,6,-0.09277777777777778,False
-17.25,-17.25,90,31,34.44,-2.7509,827454.75,1000000,30.0,48453.75,fusion_rerank,2023,2024,200000,8,-0.06845238095238096,False
-16.24,-16.24,39,13,33.33,-2.583,837560.79,1000000,30.0,32898.21,fusion_rerank,2023,2024,300000,4,-0.06444444444444444,False
-23.01,-23.01,67,20,29.85,-4.0491,769871.22,1000000,30.0,42039.95,fusion_rerank,2023,2024,300000,6,-0.09130952380952381,False
-16.59,-17.07,90,31,34.44,-2.4966,834068.43,1000000,30.0,48612.44,fusion_rerank,2023,2024,300000,8,-0.06583333333333333,False
