total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,max_positions,daily_avg_pct_252,target_05pct_day
37.81,-8.82,141,53,37.59,3.5318,1378120.71,1000000,30.0,97843.8,2023,2024,150000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.15003968253968256,False
38.95,-11.12,140,53,37.86,3.3435,1389488.12,1000000,30.0,105472.11,2023,2024,150000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.15456349206349207,False
40.85,-11.05,141,52,36.88,3.3492,1408500.67,1000000,30.0,114575.13,2023,2024,150000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.1621031746031746,False
45.88,-12.49,142,54,38.03,3.4691,1458783.84,1000000,30.0,119499.38,2023,2024,150000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.18206349206349207,False
51.5,-9.72,132,49,37.12,4.0433,1515003.45,1000000,30.0,120704.24,2023,2024,150000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.20436507936507936,False
40.75,-9.67,141,53,37.59,3.5782,1407537.77,1000000,30.0,101219.04,2023,2024,200000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.16170634920634921,False
48.9,-12.28,140,53,37.86,3.7563,1488954.9,1000000,30.0,109689.56,2023,2024,200000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.19404761904761905,False
56.64,-11.09,136,55,40.44,3.8877,1566425.04,1000000,30.0,118741.83,2023,2024,200000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.22476190476190477,False
53.19,-14.97,133,54,40.6,3.4324,1531895.19,1000000,30.0,118720.68,2023,2024,200000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.21107142857142855,False
48.85,-16.82,93,34,36.56,3.1683,1488498.94,1000000,30.0,113281.97,2023,2024,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.19384920634920635,False
38.14,-9.91,141,53,37.59,3.3111,1381370.68,1000000,30.0,102284.43,2023,2024,300000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.15134920634920634,False
64.12,-9.55,138,54,39.13,4.3293,1641158.06,1000000,30.0,120264.95,2023,2024,300000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.2544444444444445,False
80.24,-10.62,138,55,39.86,4.4943,1802375.38,1000000,30.0,133735.15,2023,2024,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.31841269841269837,False
49.71,-13.44,130,53,40.77,3.2236,1497145.36,1000000,30.0,120564.75,2023,2024,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.19726190476190478,False
59.39,-15.73,69,24,34.78,3.4424,1593855.53,1000000,30.0,126205.36,2023,2024,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.23567460317460318,False
37.08,-9.91,141,53,37.59,3.2406,1370758.77,1000000,30.0,102238.77,2023,2024,500000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.14714285714285713,False
57.02,-9.5,138,54,39.13,3.9725,1570175.59,1000000,30.0,120274.26,2023,2024,500000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.2262698412698413,False
90.26,-9.73,136,55,40.44,4.4706,1902595.1,1000000,30.0,146216.13,2023,2024,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.3581746031746032,False
68.47,-13.12,125,49,39.2,3.5548,1684672.98,1000000,30.0,136111.64,2023,2024,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.27170634920634923,False
31.35,-21.61,33,11,33.33,2.0991,1313504.94,1000000,30.0,100176.07,2023,2024,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.1244047619047619,False
26.36,-17.04,110,42,38.18,2.537,1263557.41,1000000,30.0,81566.9,2023,2024,150000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.1046031746031746,False
31.74,-16.46,108,42,38.89,2.766,1317381.67,1000000,30.0,87975.19,2023,2024,150000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.12595238095238095,False
44.63,-15.26,108,42,38.89,3.4788,1446292.9,1000000,30.0,91326.61,2023,2024,150000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.17710317460317462,False
