total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_positions,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
35.38,-7.05,31,11,35.48,3.6319,1353788.26,1000000,30.0,38350.43,2023,2024,2,200000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1403968253968254,False
35.38,-7.05,31,11,35.48,3.6319,1353788.26,1000000,30.0,38350.43,2023,2024,2,200000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1403968253968254,False
35.38,-7.05,31,11,35.48,3.6319,1353788.26,1000000,30.0,38350.43,2023,2024,2,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1403968253968254,False
53.07,-10.44,31,11,35.48,3.6414,1530696.42,1000000,30.0,57524.13,2023,2024,2,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.21059523809523809,False
53.07,-10.44,31,11,35.48,3.6413,1530682.39,1000000,30.0,57525.64,2023,2024,2,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.21059523809523809,False
53.07,-10.44,31,11,35.48,3.6413,1530682.39,1000000,30.0,57525.64,2023,2024,2,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.21059523809523809,False
92.88,-10.16,31,11,35.48,4.192,1928837.32,1000000,30.0,84829.17,2023,2024,2,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.36857142857142855,False
93.92,-13.52,31,11,35.48,4.0144,1939172.33,1000000,30.0,90090.33,2023,2024,2,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.3726984126984127,False
88.86,-11.38,29,11,37.93,4.0889,1888555.06,1000000,30.0,89870.3,2023,2024,2,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.3526190476190476,False
93.79,-10.13,31,11,35.48,4.1735,1937858.05,1000000,30.0,94908.85,2023,2024,2,1000000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.3721825396825397,False
163.42,-12.2,31,11,35.48,4.5675,2634219.19,1000000,30.0,142788.13,2023,2024,2,1000000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.6484920634920635,True
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,2,1000000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.0,False
18.24,-10.67,52,17,32.69,1.9462,1182380.02,1000000,30.0,63126.63,2023,2024,3,200000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.07238095238095238,False
18.24,-10.67,52,17,32.69,1.9462,1182380.02,1000000,30.0,63126.63,2023,2024,3,200000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.07238095238095238,False
18.24,-10.67,52,17,32.69,1.9462,1182380.02,1000000,30.0,63126.63,2023,2024,3,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.07238095238095238,False
29.41,-13.4,52,17,32.69,2.2948,1294072.76,1000000,30.0,84621.55,2023,2024,3,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1167063492063492,False
28.22,-15.63,52,17,32.69,2.093,1282217.66,1000000,30.0,91628.64,2023,2024,3,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.11198412698412698,False
57.47,-15.73,52,19,36.54,3.6853,1574672.24,1000000,30.0,95595.97,2023,2024,3,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.22805555555555554,False
43.49,-11.86,52,17,32.69,2.8616,1434862.46,1000000,30.0,97418.04,2023,2024,3,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.17257936507936508,False
57.59,-14.13,52,17,32.69,3.0071,1575883.95,1000000,30.0,116092.93,2023,2024,3,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.22853174603174606,False
31.35,-21.61,33,11,33.33,2.0991,1313504.94,1000000,30.0,100176.07,2023,2024,3,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1244047619047619,False
39.64,-11.77,52,17,32.69,2.7164,1396392.7,1000000,30.0,97700.12,2023,2024,3,1000000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1573015873015873,False
103.91,-10.58,52,17,32.69,3.8951,2039121.72,1000000,30.0,143884.87,2023,2024,3,1000000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.41234126984126984,False
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,3,1000000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.0,False
39.07,-11.0,71,26,36.62,3.4353,1390655.37,1000000,30.0,85681.76,2023,2024,4,200000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.15503968253968253,False
35.23,-14.21,72,26,36.11,2.8515,1352324.83,1000000,30.0,87665.09,2023,2024,4,200000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1398015873015873,False
35.19,-14.21,72,26,36.11,2.8499,1351942.8,1000000,30.0,87689.48,2023,2024,4,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.13964285714285712,False
41.31,-13.11,71,26,36.62,3.076,1413117.18,1000000,30.0,103878.43,2023,2024,4,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.16392857142857145,False
26.69,-15.39,72,25,34.72,2.0881,1266853.06,1000000,30.0,107400.51,2023,2024,4,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.10591269841269842,False
69.7,-15.73,65,25,38.46,3.9411,1697000.12,1000000,30.0,119405.09,2023,2024,4,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.2765873015873016,False
61.6,-11.64,71,26,36.62,3.6274,1616014.3,1000000,30.0,118742.06,2023,2024,4,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.24444444444444444,False
58.14,-14.16,72,24,33.33,3.122,1581366.1,1000000,30.0,125413.55,2023,2024,4,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.2307142857142857,False
31.35,-21.61,33,11,33.33,2.0991,1313504.94,1000000,30.0,100176.07,2023,2024,4,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1244047619047619,False
58.12,-11.48,71,25,35.21,3.5366,1581230.13,1000000,30.0,118763.26,2023,2024,4,1000000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.23063492063492064,False
108.65,-10.18,71,22,30.99,3.989,2086496.01,1000000,30.0,153304.36,2023,2024,4,1000000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.4311507936507937,False
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,4,1000000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.0,False
34.05,-15.16,85,32,37.65,2.855,1340478.22,1000000,30.0,94762.08,2023,2024,5,200000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1351190476190476,False
40.87,-16.21,87,34,39.08,2.9942,1408721.48,1000000,30.0,101192.24,2023,2024,5,200000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.16218253968253968,False
47.08,-16.82,83,31,37.35,3.3556,1470843.37,1000000,30.0,101212.96,2023,2024,5,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1868253968253968,False
45.05,-13.93,87,33,37.93,3.1651,1450512.65,1000000,30.0,108254.57,2023,2024,5,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.17876984126984125,False
39.55,-13.51,87,34,39.08,2.7501,1395531.05,1000000,30.0,114550.7,2023,2024,5,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.15694444444444444,False
59.39,-15.73,69,24,34.78,3.4424,1593855.53,1000000,30.0,126205.36,2023,2024,5,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.23567460317460318,False
58.97,-10.0,87,34,39.08,3.6407,1589667.81,1000000,30.0,120708.39,2023,2024,5,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.2340079365079365,False
72.31,-13.24,89,35,39.33,3.6639,1723140.53,1000000,30.0,133982.71,2023,2024,5,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.28694444444444445,False
31.35,-21.61,33,11,33.33,2.0991,1313504.94,1000000,30.0,100176.07,2023,2024,5,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1244047619047619,False
53.76,-11.48,87,33,37.93,3.4491,1537645.43,1000000,30.0,119708.33,2023,2024,5,1000000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.21333333333333332,False
122.76,-10.14,87,30,34.48,4.2344,2227595.62,1000000,30.0,163177.38,2023,2024,5,1000000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.48714285714285716,False
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,5,1000000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.0,False
