total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,strategy,train_end,trade_year
1.85,-12.94,33,13,39.39,0.5085,1018500.49,1000000,30.0,19836.49,base,2023,2024
1.75,-8.19,41,16,39.02,0.4491,1017466.49,1000000,30.0,24665.17,ml_only,2023,2024
-7.96,-9.52,39,13,33.33,-1.7461,920440.56,1000000,30.0,23169.61,fusion_3layer,2023,2024
0.76,-10.89,38,13,34.21,0.2801,1007581.48,1000000,30.0,22822.04,fusion_hybrid,2023,2024
34.49,-2.83,28,18,64.29,6.3023,1344869.05,1000000,30.0,17936.22,base,2024,2025
35.97,-12.6,52,26,50.0,4.3371,1359658.0,1000000,30.0,32356.13,ml_only,2024,2025
50.51,-3.2,47,28,59.57,7.5477,1505073.31,1000000,30.0,29825.94,fusion_3layer,2024,2025
23.62,-7.99,36,20,55.56,3.8596,1236154.79,1000000,30.0,22357.04,fusion_hybrid,2024,2025
9.81,-7.34,20,8,40.0,3.1348,1098051.32,1000000,30.0,12282.01,base,2025,2026
6.97,-12.79,28,10,35.71,1.7304,1069723.18,1000000,30.0,16936.55,ml_only,2025,2026
5.38,-11.6,24,7,29.17,1.6114,1053772.56,1000000,30.0,14481.33,fusion_3layer,2025,2026
12.43,-4.32,20,8,40.0,3.9396,1124278.12,1000000,30.0,12363.44,fusion_hybrid,2025,2026
