model,min_pred,top_n,score_mode,return_30bps,mdd_30bps,sharpe,trades,win_rate,final_equity,worst_year_ret,objective,y2023_ret,y2023_trades,y2024_ret,y2024_trades,y2025_ret,y2025_trades,y2026_ret,y2026_trades,pred_csv
extratrees,0.0,4,ml,92.51,-12.9,1.3339,85,36.47,1925119.94,-5.27,58.53000000000001,1.1,33,2.11,25,-5.27,18,87.96,19,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_extratrees_20260621.csv
extratrees,0.01,4,ml,92.51,-12.9,1.3339,85,36.47,1925119.94,-5.27,58.53000000000001,1.1,33,2.11,25,-5.27,18,87.96,19,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_extratrees_20260621.csv
extratrees,0.02,4,ml,92.51,-12.9,1.3339,85,36.47,1925119.94,-5.27,58.53000000000001,1.1,33,2.11,25,-5.27,18,87.96,19,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_extratrees_20260621.csv
extratrees,0.0,4,hybrid,28.86,-12.29,1.5918,90,38.89,1288594.31,-5.68,-6.149999999999999,11.2,34,6.39,32,-5.68,18,1.38,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_extratrees_20260621.csv
extratrees,0.01,4,hybrid,28.86,-12.29,1.5918,90,38.89,1288594.31,-5.68,-6.149999999999999,11.2,34,6.39,32,-5.68,18,1.38,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_extratrees_20260621.csv
extratrees,0.02,4,hybrid,28.86,-12.29,1.5918,90,38.89,1288594.31,-5.68,-6.149999999999999,11.2,34,6.39,32,-5.68,18,1.38,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_extratrees_20260621.csv
extratrees,-0.01,8,hybrid,28.86,-12.29,1.5918,90,38.89,1288594.31,-5.68,-6.149999999999999,11.2,34,6.39,32,-5.68,18,1.38,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_extratrees_20260621.csv
extratrees,0.0,8,hybrid,28.86,-12.29,1.5918,90,38.89,1288594.31,-5.68,-6.149999999999999,11.2,34,6.39,32,-5.68,18,1.38,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_extratrees_20260621.csv
lgbm,0.0,4,ml,21.84,-12.03,1.3501,64,43.75,1218400.09,10.01,49.849999999999994,10.56,28,10.01,26,22.77,35,100.43,21,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_lgbm_20260621.csv
lgbm,0.01,4,ml,21.84,-12.03,1.3501,64,43.75,1218400.09,10.01,49.849999999999994,10.56,28,10.01,26,22.77,35,100.43,21,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_lgbm_20260621.csv
lgbm,0.02,4,ml,21.84,-12.03,1.3501,64,43.75,1218400.09,10.01,49.849999999999994,10.56,28,10.01,26,22.77,35,100.43,21,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_lgbm_20260621.csv
lgbm,0.0,4,hybrid,16.7,-15.84,1.0602,66,42.42,1166971.45,10.01,40.89999999999999,10.56,28,10.01,26,22.67,35,11.73,22,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_lgbm_20260621.csv
lgbm,0.01,4,hybrid,16.7,-15.84,1.0602,66,42.42,1166971.45,10.01,40.89999999999999,10.56,28,10.01,26,22.67,35,11.73,22,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_lgbm_20260621.csv
lgbm,0.02,4,hybrid,16.7,-15.84,1.0602,66,42.42,1166971.45,10.01,40.89999999999999,10.56,28,10.01,26,22.67,35,11.73,22,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_lgbm_20260621.csv
lgbm,-0.01,8,hybrid,16.7,-15.84,1.0602,66,42.42,1166971.45,10.01,40.89999999999999,10.56,28,10.01,26,22.67,35,11.73,22,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_lgbm_20260621.csv
lgbm,0.0,8,hybrid,16.7,-15.84,1.0602,66,42.42,1166971.45,10.01,40.89999999999999,10.56,28,10.01,26,22.67,35,11.73,22,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_lgbm_20260621.csv
rf,0.0,4,hybrid,12.95,-11.11,0.9074,81,39.51,1129472.82,-5.25,-19.16,9.93,31,-0.28,25,22.61,38,-5.25,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_rf_20260621.csv
rf,0.01,4,hybrid,12.95,-11.11,0.9074,81,39.51,1129472.82,-5.25,-19.16,9.93,31,-0.28,25,22.61,38,-5.25,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_rf_20260621.csv
rf,0.02,4,hybrid,12.95,-11.11,0.9074,81,39.51,1129472.82,-5.25,-19.16,9.93,31,-0.28,25,22.61,38,-5.25,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_rf_20260621.csv
rf,-0.01,8,hybrid,12.95,-11.11,0.9074,81,39.51,1129472.82,-5.25,-19.16,9.93,31,-0.28,25,22.61,38,-5.25,18,/Users/01chungee10/Github/TOSS/reports/harness/ml_direct_pred_rf_20260621.csv
