model,min_pred,top_n,score_mode,code,entry_date,exit_date,pnl_pct,pnl_krw,exit_reason,holding_steps
lgbm,0.0,4,ml,175140,2023-01-09,2023-01-16,19.782174688057026,19782.174688057028,take_profit,1
lgbm,0.0,4,ml,175140,2023-01-16,2023-02-15,20.852967359050453,20852.967359050454,take_profit,4
lgbm,0.0,4,ml,356890,2023-01-25,2023-02-22,24.376233689513015,24376.233689513014,take_profit,4
lgbm,0.0,4,ml,069330,2023-01-02,2023-03-16,2.0458823529411747,2045.8823529411748,time_exit,10
lgbm,0.0,4,ml,203690,2023-01-02,2023-03-16,-20.24000000000001,-20240.000000000015,stop_loss,10
lgbm,0.0,4,ml,042040,2023-02-15,2023-04-13,81.58031674208146,81580.31674208146,take_profit,8
lgbm,0.0,4,ml,069920,2023-02-22,2023-05-08,37.103457106274,37103.457106274,take_profit,10
lgbm,0.0,4,ml,002290,2023-03-16,2023-05-30,14.911026183011822,14911.026183011825,time_exit,10
lgbm,0.0,4,ml,071950,2023-03-23,2023-06-07,5.903555555555547,5903.5555555555475,time_exit,10
lgbm,0.0,4,ml,238090,2023-04-13,2023-06-28,-3.22697247706422,-3226.9724770642206,time_exit,10
lgbm,0.0,4,ml,307930,2023-05-30,2023-07-12,32.52377153967122,32523.771539671216,take_profit,6
lgbm,0.0,4,ml,204840,2023-05-08,2023-07-19,-5.440407673860915,-5440.407673860915,time_exit,10
lgbm,0.0,4,ml,009440,2023-06-07,2023-07-26,-24.924695211561005,-24924.695211561004,stop_loss,7
lgbm,0.0,4,ml,005110,2023-07-19,2023-08-17,-29.059615384615377,-29059.615384615376,stop_loss,4
lgbm,0.0,4,ml,336060,2023-06-28,2023-08-31,28.444027517198233,28444.027517198236,take_profit,9
lgbm,0.0,4,ml,002820,2023-07-12,2023-09-21,-10.68541666666667,-10685.416666666672,time_exit,10
lgbm,0.0,4,ml,008600,2023-07-26,2023-10-12,5.025854700854703,5025.854700854703,time_exit,10
lgbm,0.0,4,ml,217730,2023-08-31,2023-10-19,-17.69496491863244,-17694.96491863244,stop_loss,6
lgbm,0.0,4,ml,033560,2023-08-17,2023-10-26,-18.910666666666657,-18910.666666666657,stop_loss,9
