total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,experiment,train_end,trade_year
1.85,-12.94,33,13,39.39,0.5085,1018500.49,1000000,30.0,19836.49,base,2023,2024
1.75,-8.19,41,16,39.02,0.4491,1017466.49,1000000,30.0,24665.17,ml_rerank,2023,2024
-5.09,-8.62,38,12,31.58,-1.081,949092.08,1000000,30.0,22646.05,ml_hybrid_a0p5,2023,2024
-3.52,-9.58,41,15,36.59,-0.6559,964837.92,1000000,30.0,24507.31,ml_hybrid_a1p0,2023,2024
34.49,-2.83,28,18,64.29,6.3023,1344869.05,1000000,30.0,17936.22,base,2024,2025
35.97,-12.6,52,26,50.0,4.3371,1359658.0,1000000,30.0,32356.13,ml_rerank,2024,2025
18.66,-9.09,37,17,45.95,2.9428,1186558.0,1000000,30.0,22812.55,ml_hybrid_a0p5,2024,2025
36.16,-7.71,41,24,58.54,4.971,1361635.06,1000000,30.0,25799.48,ml_hybrid_a1p0,2024,2025
9.81,-7.34,20,8,40.0,3.1348,1098051.32,1000000,30.0,12282.01,base,2025,2026
6.97,-12.79,28,10,35.71,1.7304,1069723.18,1000000,30.0,16936.55,ml_rerank,2025,2026
17.24,-6.01,21,8,38.1,4.3321,1172437.88,1000000,30.0,13110.16,ml_hybrid_a0p5,2025,2026
9.94,-5.76,23,8,34.78,3.0641,1099435.34,1000000,30.0,14034.85,ml_hybrid_a1p0,2025,2026
