Code,Name
000120,CJ대한통운
000230,일동홀딩스
000300,DH오토넥스
000370,한화손해보험
000490,대동
000670,영풍
000880,한화
000990,DB하이텍
001040,CJ
001200,유진투자증권
001270,부국증권
001510,SK증권
001560,제일연마
001570,금양
001740,SK네트웍스
001780,알루코
002070,비비안
002210,동성제약
002290,삼일기업공사
002320,한진
002380,KCC
002420,세기상사
002450,삼익악기
002460,HS화성
002600,조흥
002760,보락
002820,SUN&L
002840,미원상사
002880,디와이에이
003030,세아제강지주
003230,삼양식품
003240,태광산업
003520,영진약품
003680,한성기업
003690,코리안리
003920,남양유업
003960,사조대림
004000,롯데정밀화학
004140,동방
004270,남성
004410,서울식품
004430,송원산업
004540,깨끗한나라
004700,조광피혁
004870,티웨이홀딩스
005030,부산주공
005110,한창
005300,롯데칠성
005360,모나미
005389,현대차3우B
005420,코스모화학
005750,대림바스
005820,원림
005830,DB손해보험
005880,대한해운
005940,NH투자증권
006040,동원산업
006110,삼아알미늄
006360,GS건설
006370,대구백화점
006380,카프로
006730,서부T&D
006880,신송홀딩스
007390,네이처셀
007540,샘표
007590,동방아그로
008250,이건산업
008370,원풍
008600,윌비스
008970,KBI동양철관
009200,무림페이퍼
009440,KC그린홀딩스
009450,경동나비엔
009780,엠에스씨
010040,한국내화
010100,한국무브넥스
011150,CJ씨푸드
011230,삼화전자
011320,유니크
011690,와이투솔루션
011780,금호석유화학
012030,DB
012610,경인양행
012750,에스원
013000,세우글로벌
013310,아진산업
014190,원익큐브
014470,부방
014620,성광벤드
014680,한솔케미칼
014710,사조씨푸드
014790,HL D&I
014830,유니드
014910,성문전자
015590,DKME
016250,SGC E&C
016360,삼성증권
016450,한세예스24홀딩스
016800,퍼시스
017180,명문제약
017810,풀무원
018290,브이티
018310,삼목에스폼
018700,졸스
018880,한온시스템
019170,신풍제약
019680,대교
019770,서연탑메탈
020000,한섬
020120,키다리스튜디오
020150,롯데에너지머티리얼즈
020180,대신정보통신
021820,세원정공
023160,태광
023410,유진기업
023530,롯데쇼핑
024120,KB오토시스
024800,유성티엔에스
024910,경창산업
025540,한국단자
027710,팜스토리
027740,마니커
027970,한국제지
028300,HLB
030200,KT
031440,신세계푸드
031980,피에스케이홀딩스
032280,삼일
032350,롯데관광개발
032500,케이엠더블유
032620,GC메디아이
032640,LG유플러스
032680,소프트센
032790,엠젠솔루션
032820,우리기술
032940,원익
032960,동일기연
033130,디지틀조선
033560,블루콤
033780,KT&G
034590,인천도시가스
034730,SK
034810,해성산업
035080,그래디언트
035250,강원랜드
035290,골드앤에스
036030,케이티알파
036170,에이치엠넥스
036420,콘텐트리중앙
036580,팜스코
036670,삼양케이씨아이
036690,코맥스
036890,진성티이씨
037440,희림
037950,엘컴텍
038060,루멘스
038620,위즈코프
039340,한국경제TV
039560,다산네트웍스
039570,HDC랩스
039740,한국정보공학
039830,오로라
040160,누리플렉스
040610,SG&G
041590,플래스크
041910,폴라리스AI파마
042040,케이피엠테크
042420,네오위즈홀딩스
043650,국순당
044380,주연테크
044450,KSS해운
044960,이글벳
045970,코아시아
046070,코다코
047080,한빛소프트
047770,코데즈컴바인
047810,한국항공우주
048430,유라테크
048770,TPC로보틱스
049080,기가레인
049430,코메론
049480,오픈베이스
051380,피씨디렉트
051490,나라엠앤디
052220,iMBC
052710,아모텍
053080,케이엔솔
053270,구영테크
053800,안랩
053980,오상자이엘
054040,한국컴퓨터
054780,키이스트
054800,아이디스홀딩스
054940,엑사이엔씨
054950,제이브이엠
055550,신한지주
056730,CNT85
057540,옴니시스템
058110,멕아이씨에스
058650,세아홀딩스
058850,KTcs
058970,엠로
059100,아이컴포넌트
059210,메타바이오메드
060250,NHN KCP
060540,에스에이티
060570,드림어스컴퍼니
060590,씨티씨바이오
060850,영림원소프트랩
061250,화일약품
063080,컴투스홀딩스
063160,종근당바이오
064290,인텍플러스
065530,와이어블
066410,버킷스튜디오
066430,아이로보틱스
066700,테라젠이텍스
067310,하나마이크론
067570,엔브이에이치코리아
067630,HLB생명과학
067900,와이엔텍
069330,유아이디
069920,엑시온그룹
071090,하이스틸
071320,지역난방공사
071850,캐스텍코리아
071950,코아스
071970,HD현대마린엔진
072770,멤레이비티
074430,아미노로직스
078350,한양디지텍
078600,대주전자재료
079810,APS이노베이션
079950,인베니아
080160,모두투어
080220,제주반도체
080530,코디
080720,한국유니온제약
081000,일진다이아
081580,성우전자
082640,동양생명
082660,코스나인
083650,비에이치아이
083790,CG인바이츠
084110,휴온스글로벌
084440,유비온
084670,동양고속
086390,유니테스트
086960,MDS테크
087600,픽셀플러스
088130,동아엘텍
088280,쏘닉스
088390,이녹스
088790,진도
088910,동우팜투테이블
089150,케이씨티
089980,상아프론테크
090370,메타랩스
090410,덕신이피씨
091590,남화토건
091810,트리니티항공
091970,나노캠텍
092070,디엔에프
092190,서울바이오시스
092460,한라IMS
092780,DYP
092870,엑시콘
094170,동운아나텍
095500,미래나노텍
095570,AJ네트웍스
096240,크레버스
096690,에이루트
096870,엘디티
098460,고영
099190,아이센스
100660,서암기계공업
101490,에스앤에스텍
101680,한국정밀기계
101730,위메이드맥스
101970,우양에이치씨
102260,동성케미컬
102370,케이옥션
102460,이연제약
103230,에스앤더블류
103840,우양
104460,디와이피엔에프
104480,티케이케미칼
104620,노랑풍선
104830,원익머트리얼즈
106080,케이이엠텍
106520,노블엠앤비
112290,와이씨켐
113810,디젠스
115160,휴맥스
117580,대성에너지
119650,KC코트렐
120110,코오롱인더
121800,비덴트
122350,삼기
122870,와이지엔터테인먼트
123700,SJM
123750,알톤
125210,아모그린텍
126560,현대퓨처넷
127980,화인써키트
128940,한미약품
129920,대성하이텍
130500,GH신소재
130660,한전산업
131100,티엔엔터테인먼트
131180,딜리
131290,티에스이
131370,알서포트
133750,메가엠디
136490,선진
140410,메지온
140520,대창스틸
145990,삼양사
154030,아시아종묘
155650,와이엠씨
155660,DSR
161390,한국타이어앤테크놀로지
162300,신스틸
168330,내츄럴엔도텍
169330,엠브레인
170900,동아에스티
171120,라이온켐텍
174900,앱클론
175140,휴먼테크놀로지
179290,엠아이텍
182400,엔케이젠바이오텍코리아
187220,디티앤씨
187270,신화콘텍
187420,HLB제넥스
187790,나노
189330,씨이랩
189690,포시에스
190510,나무가
192650,드림텍
194370,제이에스코퍼레이션
196700,웹스
198080,캐프
198440,강동씨앤엘
199820,제일일렉트릭
200780,비씨월드제약
203690,아크솔루션스
204840,지엘팜텍
208350,지란지교시큐리티
208860,다산디엠씨
213500,한솔제지
214320,이노션
214330,금호에이치티
214370,케어젠
215090,솔디펜스
215480,토박스코리아
216080,제테마
217190,제너셈
217730,강스템바이오텍
219130,타이거일렉
219420,링크제니시스
222980,한국맥널티
225530,HC보광산업
226950,올릭스
227610,아우딘퓨쳐스
228760,지노믹트리
228850,레이언스
229000,젠큐릭스
230240,에치에프알
234080,JW생명과학
237820,플레이디
238090,앤디포스
241710,코스메카코리아
241820,피씨엘
244920,에이플러스에셋
246690,TS인베스트먼트
246960,SCL사이언스
252500,세화피앤씨
254120,자비스
255220,SG
256150,한독크린텍
256840,한국비엔씨
256940,킵스파마
257370,피엔티엠에스
259960,크래프톤
263600,덕우전자
263720,디앤씨미디어
263770,유에스티
263800,데이타솔루션
264450,유비쿼스
267260,HD현대일렉트릭
270870,뉴트리
276730,한울앤제주
279600,미디어젠
280360,롯데웰푸드
282720,금양그린파워
284740,쿠쿠홈시스
285130,SK케미칼
288330,파라택시스코리아
290520,신도기연
294630,서남
298380,에이비엘바이오
298540,더네이쳐홀딩스
298830,슈어소프트테크
299900,위지윅스튜디오
303530,이노뎁
306040,에스제이그룹
307180,아이엘
307870,비투엔
307930,컴퍼니케이
308080,바이젠셀
309930,조이웍스앤코
310200,애니플러스
314140,알피바이오
316140,우리금융지주
317120,라닉스
317690,퀀타매트릭스
317870,엔바이오니아
319400,현대무벡스
321550,티움바이오
323410,카카오뱅크
328380,솔트웨어
331380,포커스에이아이
333430,일승
333620,엔시스
336060,웨이버스
336260,두산퓨얼셀
336570,원텍
336680,탑런토탈솔루션
338840,와이바이오로직스
339770,교촌에프앤비
340360,다보링크
344820,KCC글라스
348080,큐라티스
348350,위드텍
352090,스톰테크
355150,코스텍시스
356890,싸이버원
357550,석경에이티
364950,에이아이코리아
368600,아이씨에이치
373160,데이원컴퍼니
376290,씨유테크
376900,로킷헬스케어
377220,프롬바이오
377330,이지트로닉스
377480,마음AI
378850,화승알앤에이
384470,코어라인소프트
387570,파인메딕스
388720,유일로보틱스
388790,라이콤
389680,유디엠텍
391710,코닉오토메이션
393970,대진첨단소재
396470,워트
397810,애드포러스
402490,그린리소스
403850,더핑크퐁컴퍼니
405920,나라셀라
413640,비아이매트릭스
416180,신성에스티
424760,벨로크
425040,티이엠씨
430690,한싹
432430,와이랩
432980,엠에프씨
434480,모니터랩
435570,에르코스
439580,블루엠텍
445180,퓨릿
446540,메가터치
446840,지슨
448280,에코아이
450080,에코프로머티
451250,삐아
452190,한빛레이저
452300,캡스톤파트너스
453340,현대그린푸드
454910,두산로보틱스
455900,엔젤로보틱스
457370,한켐
457550,우진엔텍
460470,아이빔테크놀로지
460860,동국제강
462520,조선내화
462860,더즌
464280,티디에스팜
464580,닷밀
468530,프로티나
474610,RF시스템즈
475430,키스트론
475560,더본코리아
475660,에스켐
483650,달바글로벌
487570,HS효성
900310,컬러레이
