config,scope,total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw
base_t55_sl12_mp4,full,46.0,-10.95,152,69,45.39,2.1865,1460026.4,1000000,30,92858.66
base_t55_sl12_mp4,2022,12.43,-4.12,27,16,59.26,3.1853,1124310.09,1000000,30,16628.78
base_t55_sl12_mp4,2023,-4.2,-12.2,38,13,34.21,-0.6598,958016.67,1000000,30,22725.26
base_t55_sl12_mp4,2024,0.97,-8.0,29,11,37.93,0.3532,1009716.84,1000000,30,17448.22
base_t55_sl12_mp4,2025,94.93,-4.52,39,17,43.59,2.5718,1949338.1,1000000,30,26323.39
base_t55_sl12_mp4,2026,1.33,-10.28,20,7,35.0,0.5769,1013304.5,1000000,30,12076.14
def_t65_sl8_mp3,full,32.14,-7.49,126,51,40.48,1.7727,1321429.82,1000000,30,76794.67
def_t65_sl8_mp3,2022,7.76,-3.99,19,10,52.63,2.5904,1077610.23,1000000,30,11651.08
def_t65_sl8_mp3,2023,7.58,-7.24,32,13,40.62,1.9506,1075785.13,1000000,30,19469.43
def_t65_sl8_mp3,2024,-1.04,-5.72,27,8,29.63,-0.1511,989639.59,1000000,30,16180.39
def_t65_sl8_mp3,2025,7.41,-6.87,34,11,32.35,1.6899,1074148.15,1000000,30,20681.84
def_t65_sl8_mp3,2026,-6.1,-7.74,15,4,26.67,-2.3481,938976.98,1000000,30,8843.46
