symbol,name,trades,pnl_krw,avg_pnl_pct,worst_pnl_pct
000230,일동홀딩스,2,-29950.14,-14.975,-15.11
064290,인텍플러스,1,-19034.85,-19.03,-19.03
348350,위드텍,1,-17423.31,-17.42,-17.42
000120,CJ대한통운,1,-15121.42,-15.12,-15.12
092870,엑시콘,1,-14018.7,-14.02,-14.02
222980,한국맥널티,1,-13810.32,-13.81,-13.81
099190,아이센스,1,-13597.73,-13.6,-13.6
162300,신스틸,1,-13506.82,-13.51,-13.51
131290,티에스이,1,-12946.43,-12.95,-12.95
071850,캐스텍코리아,1,-12737.64,-12.74,-12.74
092070,디엔에프,1,-12707.5,-12.71,-12.71
011150,CJ씨푸드,1,-12500.0,-12.5,-12.5
067900,와이엔텍,1,-11589.74,-11.59,-11.59
104830,원익머트리얼즈,1,-11200.01,-11.2,-11.2
276730,한울앤제주,1,-7544.98,-7.54,-7.54
003690,코리안리,1,-6628.56,-6.63,-6.63
023160,태광,1,-5707.55,-5.71,-5.71
234080,JW생명과학,1,-3749.1,-3.75,-3.75
208350,지란지교시큐리티,1,-3632.24,-3.63,-3.63
002210,동성제약,1,-2682.56,-2.68,-2.68
000370,한화손해보험,1,-2407.0,-2.41,-2.41
001560,제일연마,1,-666.68,-0.67,-0.67
192650,드림텍,1,-222.39,-0.22,-0.22
043650,국순당,1,2129.22,2.13,2.13
000300,DH오토넥스,1,3112.84,3.11,3.11
264450,유비쿼스,1,4206.24,4.21,4.21
003680,한성기업,1,4324.32,4.32,4.32
161390,한국타이어앤테크놀로지,1,5569.02,5.57,5.57
133750,메가엠디,1,8993.57,8.99,8.99
039740,한국정보공학,1,11094.22,11.09,11.09
238090,앤디포스,1,13262.2,13.26,13.26
309930,조이웍스앤코,1,20665.08,20.67,20.67
009450,경동나비엔,2,21491.62,10.745,-0.12
256940,킵스파마,1,23488.37,23.49,23.49
103840,우양,1,34666.67,34.67,34.67
031980,피에스케이홀딩스,1,65468.3,65.47,65.47
