symbol,side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_krw,pnl_pct,holding_steps,exit_reason,exit_year,entry_year,name,is_loss
054940,BUY,2022-10-31,1355.0,2023-01-03,1285.0,73.800738,-5166.05,-5.17,9,regime_risk_off,2023,2022,엑사이엔씨,True
000490,BUY,2022-10-31,11060.8857421875,2023-01-03,12951.62890625,9.040867,17093.96,17.09,9,regime_risk_off,2023,2022,대동,False
054040,BUY,2022-11-28,3425.374267578125,2023-01-03,3361.308837890625,29.19389,-1870.32,-1.87,5,regime_risk_off,2023,2022,한국컴퓨터,True
298540,BUY,2022-12-05,27200.408203125,2023-01-03,27569.923828125,3.676415,1358.49,1.36,4,regime_risk_off,2023,2022,더네이쳐홀딩스,False
256940,BUY,2023-01-10,7020.0,2023-02-02,8570.0,14.245014,22079.77,22.08,3,take_profit,2023,2023,킵스파마,False
060850,BUY,2023-01-10,9136.5126953125,2023-02-09,11348.8134765625,10.945095,24213.84,24.21,4,take_profit,2023,2023,영림원소프트랩,False
044380,BUY,2023-02-09,4650.0,2023-03-03,3985.0,21.505376,-14301.08,-14.3,3,stop_loss,2023,2023,주연테크,True
011150,BUY,2023-01-10,3345.0,2023-03-10,3225.0,29.895366,-3587.44,-3.59,8,regime_risk_off,2023,2023,CJ씨푸드,True
003960,BUY,2023-01-10,29177.662109375,2023-03-10,24688.79296875,3.427279,-15384.61,-15.38,8,stop_loss,2023,2023,사조대림,True
154030,BUY,2023-02-02,4000.0,2023-03-10,3705.0,25.0,-7375.0,-7.38,5,regime_risk_off,2023,2023,아시아종묘,True
005830,BUY,2023-03-03,64399.234375,2023-03-10,64907.65625,1.552813,789.48,0.79,1,regime_risk_off,2023,2023,DB손해보험,False
356890,BUY,2023-03-31,12602.9580078125,2023-04-28,10225.2265625,7.934645,-18866.46,-18.87,4,stop_loss,2023,2023,싸이버원,True
049080,BUY,2023-03-31,1954.0,2023-04-28,1607.0,51.177073,-17758.44,-17.76,4,stop_loss,2023,2023,기가레인,True
005389,BUY,2023-03-31,72986.3671875,2023-05-09,87615.625,1.370119,20043.82,20.04,5,take_profit,2023,2023,현대차3우B,False
276730,BUY,2023-03-31,87400.0,2023-05-16,75250.0,1.144165,-13901.6,-13.9,6,stop_loss,2023,2023,한울앤제주,True
006880,BUY,2023-04-28,7482.919921875,2023-05-16,6990.99609375,13.363767,-6573.96,-6.57,2,regime_risk_off,2023,2023,신송홀딩스,True
344820,BUY,2023-04-28,39494.64453125,2023-05-16,35154.1015625,2.531989,-10990.21,-10.99,2,regime_risk_off,2023,2023,KCC글라스,True
023160,BUY,2023-05-09,17717.107421875,2023-05-16,16347.6689453125,5.644262,-7729.47,-7.73,1,regime_risk_off,2023,2023,태광,True
092460,BUY,2023-05-23,6649.09326171875,2023-05-31,5617.95068359375,15.039645,-15508.02,-15.51,1,stop_loss,2023,2023,한라IMS,True
357550,BUY,2023-05-31,40550.0,2023-06-08,60100.0,2.466091,48212.08,48.21,1,take_profit,2023,2023,석경에이티,False
309930,BUY,2023-05-23,5312.5,2023-06-15,6537.5,18.823529,23058.82,23.06,3,take_profit,2023,2023,조이웍스앤코,False
090410,BUY,2023-05-23,2003.2725830078125,2023-06-29,2742.34423828125,49.918319,36893.21,36.89,5,take_profit,2023,2023,덕신이피씨,False
006370,BUY,2023-06-08,10941.1767578125,2023-07-06,14442.3525390625,9.139785,31999.99,32.0,4,take_profit,2023,2023,대구백화점,False
199820,BUY,2023-05-23,11291.7392578125,2023-07-13,13676.0908203125,8.856032,21115.89,21.12,7,take_profit,2023,2023,제일일렉트릭,False
