total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,strategy,overlay_mode,alpha,max_notional,max_positions,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
-11.27,-20.06,81,27,33.33,-1.9603,887309.03,1000000,30.0,48353.25,2023,2024,base,,10.0,100000,6,0.06,0.15,0.0,10,-0.04472222222222222,False
-7.54,-16.28,76,26,34.21,-1.2768,924633.65,1000000,30.0,45473.15,2023,2024,base,,10.0,100000,6,0.06,0.15,0.0,20,-0.02992063492063492,False
-14.16,-19.48,92,32,34.78,-2.8574,858445.6,1000000,30.0,54842.51,2023,2024,base,,10.0,100000,6,0.06,0.15,0.06,10,-0.05619047619047619,False
-14.16,-19.48,92,32,34.78,-2.8574,858445.6,1000000,30.0,54842.51,2023,2024,base,,10.0,100000,6,0.06,0.15,0.06,20,-0.05619047619047619,False
14.79,-17.6,74,23,31.08,1.457,1147905.64,1000000,30.0,44941.37,2023,2024,base,,10.0,100000,6,0.06,0.25,0.0,10,0.05869047619047619,False
-4.28,-15.79,69,21,30.43,-0.6705,957187.91,1000000,30.0,41358.47,2023,2024,base,,10.0,100000,6,0.06,0.25,0.0,20,-0.016984126984126983,False
-18.19,-22.46,86,29,33.72,-3.2815,818145.66,1000000,30.0,50983.65,2023,2024,base,,10.0,100000,6,0.06,0.25,0.06,10,-0.07218253968253968,False
-18.19,-22.46,86,29,33.72,-3.2815,818145.66,1000000,30.0,50983.65,2023,2024,base,,10.0,100000,6,0.06,0.25,0.06,20,-0.07218253968253968,False
8.07,-16.96,66,23,34.85,0.9158,1080746.96,1000000,30.0,39913.07,2023,2024,base,,10.0,100000,6,0.1,0.15,0.0,10,0.032023809523809524,False
11.06,-14.67,61,21,34.43,1.1401,1110591.97,1000000,30.0,36993.84,2023,2024,base,,10.0,100000,6,0.1,0.15,0.0,20,0.043888888888888894,False
-20.92,-24.64,74,24,32.43,-4.1081,790804.2,1000000,30.0,43582.86,2023,2024,base,,10.0,100000,6,0.1,0.15,0.06,10,-0.08301587301587303,False
-20.92,-24.64,74,24,32.43,-4.1081,790804.2,1000000,30.0,43582.86,2023,2024,base,,10.0,100000,6,0.1,0.15,0.06,20,-0.08301587301587303,False
13.42,-16.61,58,19,32.76,1.3281,1134190.74,1000000,30.0,35259.44,2023,2024,base,,10.0,100000,6,0.1,0.25,0.0,10,0.053253968253968255,False
23.94,-10.58,50,16,32.0,2.0757,1239449.31,1000000,30.0,30761.72,2023,2024,base,,10.0,100000,6,0.1,0.25,0.0,20,0.095,False
-26.81,-30.24,73,23,31.51,-4.9209,731853.05,1000000,30.0,42070.75,2023,2024,base,,10.0,100000,6,0.1,0.25,0.06,10,-0.10638888888888888,False
-26.81,-30.24,73,23,31.51,-4.9209,731853.05,1000000,30.0,42070.75,2023,2024,base,,10.0,100000,6,0.1,0.25,0.06,20,-0.10638888888888888,False
0.89,-12.27,50,23,46.0,0.3046,1008913.38,1000000,30.0,30001.75,2023,2024,base,,10.0,100000,6,0.14,0.15,0.0,10,0.0035317460317460317,False
-1.36,-10.01,45,17,37.78,-0.1605,986394.87,1000000,30.0,26924.97,2023,2024,base,,10.0,100000,6,0.14,0.15,0.0,20,-0.005396825396825397,False
-7.35,-16.41,57,22,38.6,-1.1928,926536.42,1000000,30.0,33966.52,2023,2024,base,,10.0,100000,6,0.14,0.15,0.06,10,-0.029166666666666664,False
-7.71,-17.47,57,21,36.84,-1.3305,922909.37,1000000,30.0,33955.6,2023,2024,base,,10.0,100000,6,0.14,0.15,0.06,20,-0.030595238095238095,False
2.56,-14.09,48,19,39.58,0.5793,1025647.17,1000000,30.0,28848.5,2023,2024,base,,10.0,100000,6,0.14,0.25,0.0,10,0.010158730158730159,False
-2.18,-14.28,43,14,32.56,-0.2606,978182.57,1000000,30.0,25696.65,2023,2024,base,,10.0,100000,6,0.14,0.25,0.0,20,-0.008650793650793652,False
-7.12,-18.89,53,21,39.62,-1.2042,928782.43,1000000,30.0,31566.05,2023,2024,base,,10.0,100000,6,0.14,0.25,0.06,10,-0.028253968253968254,False
-8.53,-18.65,51,18,35.29,-1.5432,914667.14,1000000,30.0,30319.97,2023,2024,base,,10.0,100000,6,0.14,0.25,0.06,20,-0.033849206349206344,False
-13.73,-22.58,106,37,34.91,-2.1925,862652.82,1000000,30.0,59857.16,2023,2024,base,,10.0,100000,8,0.06,0.15,0.0,10,-0.05448412698412699,False
-9.41,-19.24,98,35,35.71,-1.4697,905882.37,1000000,30.0,55808.55,2023,2024,base,,10.0,100000,8,0.06,0.15,0.0,20,-0.03734126984126984,False
4.59,-21.34,120,41,34.17,0.6697,1045941.58,1000000,30.0,70954.77,2023,2024,base,,10.0,100000,8,0.06,0.15,0.06,10,0.018214285714285714,False
4.59,-21.34,120,41,34.17,0.6697,1045941.58,1000000,30.0,70954.77,2023,2024,base,,10.0,100000,8,0.06,0.15,0.06,20,0.018214285714285714,False
12.16,-20.57,96,30,31.25,1.2341,1121635.04,1000000,30.0,57147.68,2023,2024,base,,10.0,100000,8,0.06,0.25,0.0,10,0.04825396825396826,False
-7.63,-19.62,87,27,31.03,-1.2961,923657.98,1000000,30.0,49602.94,2023,2024,base,,10.0,100000,8,0.06,0.25,0.0,20,-0.03027777777777778,False
-20.16,-25.35,107,36,33.64,-3.3335,798389.58,1000000,30.0,57905.55,2023,2024,base,,10.0,100000,8,0.06,0.25,0.06,10,-0.08,False
-20.16,-25.35,107,36,33.64,-3.3335,798389.58,1000000,30.0,57905.55,2023,2024,base,,10.0,100000,8,0.06,0.25,0.06,20,-0.08,False
3.58,-20.44,81,30,37.04,0.5827,1035766.77,1000000,30.0,47906.0,2023,2024,base,,10.0,100000,8,0.1,0.15,0.0,10,0.014206349206349207,False
1.4,-20.94,75,26,34.67,0.3913,1014017.53,1000000,30.0,44253.12,2023,2024,base,,10.0,100000,8,0.1,0.15,0.0,20,0.005555555555555555,False
2.31,-20.8,98,33,33.67,0.4689,1023115.73,1000000,30.0,58010.36,2023,2024,base,,10.0,100000,8,0.1,0.15,0.06,10,0.009166666666666667,False
2.31,-20.8,98,33,33.67,0.4689,1023115.73,1000000,30.0,58010.36,2023,2024,base,,10.0,100000,8,0.1,0.15,0.06,20,0.009166666666666667,False
11.21,-19.83,74,26,35.14,1.1969,1112138.22,1000000,30.0,44164.35,2023,2024,base,,10.0,100000,8,0.1,0.25,0.0,10,0.04448412698412699,False
15.65,-15.14,65,21,32.31,1.4828,1156453.61,1000000,30.0,38949.14,2023,2024,base,,10.0,100000,8,0.1,0.25,0.0,20,0.062103174603174605,False
-24.67,-29.62,91,29,31.87,-4.3354,753268.05,1000000,30.0,48700.62,2023,2024,base,,10.0,100000,8,0.1,0.25,0.06,10,-0.0978968253968254,False
-24.67,-29.62,91,29,31.87,-4.3354,753268.05,1000000,30.0,48700.62,2023,2024,base,,10.0,100000,8,0.1,0.25,0.06,20,-0.0978968253968254,False
-2.47,-17.37,66,29,43.94,-0.2496,975276.49,1000000,30.0,38789.01,2023,2024,base,,10.0,100000,8,0.14,0.15,0.0,10,-0.009801587301587303,False
-6.16,-15.86,58,21,36.21,-1.1334,938375.5,1000000,30.0,33681.03,2023,2024,base,,10.0,100000,8,0.14,0.15,0.0,20,-0.024444444444444446,False
9.24,-21.5,78,28,35.9,1.0571,1092404.92,1000000,30.0,46618.12,2023,2024,base,,10.0,100000,8,0.14,0.15,0.06,10,0.03666666666666667,False
13.29,-18.11,77,28,36.36,1.3901,1132853.59,1000000,30.0,46133.17,2023,2024,base,,10.0,100000,8,0.14,0.15,0.06,20,0.05273809523809524,False
2.65,-18.69,63,26,41.27,0.5808,1026522.93,1000000,30.0,37450.26,2023,2024,base,,10.0,100000,8,0.14,0.25,0.0,10,0.010515873015873015,False
-5.81,-18.65,56,19,33.93,-0.9759,941865.62,1000000,30.0,32585.98,2023,2024,base,,10.0,100000,8,0.14,0.25,0.0,20,-0.023055555555555555,False
-9.84,-21.25,73,28,38.36,-1.4971,901572.71,1000000,30.0,42147.47,2023,2024,base,,10.0,100000,8,0.14,0.25,0.06,10,-0.039047619047619046,False
-15.63,-25.25,72,26,36.11,-2.7522,843694.9,1000000,30.0,40446.8,2023,2024,base,,10.0,100000,8,0.14,0.25,0.06,20,-0.06202380952380953,False
-5.26,-20.51,80,30,37.5,-0.6123,947374.95,1000000,30.0,61181.87,2023,2024,base,,10.0,150000,6,0.06,0.15,0.0,10,-0.020873015873015873,False
