total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,candidate,overlay,alpha,year,cost_bps,objective
96.61,-4.3,39,17,43.59,2.5948,1966087.25,1000000,10.0,8774.46,canonical_base,none,,2025,10.0,99.64959999999999
95.97,-4.25,36,16,44.44,2.585,1959707.02,1000000,10.0,8167.46,sentiment_rerank,rerank,,2025,10.0,99.015
93.7,-4.6,38,17,44.74,2.5502,1936969.73,1000000,10.0,8545.11,sentiment_hybrid_a0p1,hybrid,0.1,2025,10.0,96.5004
93.76,-3.29,36,17,47.22,2.5514,1937627.69,1000000,10.0,8145.37,sentiment_hybrid_a0p2,hybrid,0.2,2025,10.0,97.21780000000001
92.43,-4.32,37,17,45.95,2.5305,1924271.9,1000000,10.0,8332.21,sentiment_hybrid_a0p25,hybrid,0.25,2025,10.0,95.33100000000002
92.43,-4.32,37,17,45.95,2.5305,1924271.9,1000000,10.0,8332.21,sentiment_hybrid_a0p3,hybrid,0.3,2025,10.0,95.33100000000002
89.57,-4.73,36,15,41.67,2.4857,1895682.09,1000000,10.0,8103.39,sentiment_hybrid_a0p35,hybrid,0.35,2025,10.0,92.1764
89.66,-4.69,36,15,41.67,2.4872,1896623.56,1000000,10.0,8104.34,sentiment_hybrid_a0p4,hybrid,0.4,2025,10.0,92.2894
92.08,-4.63,38,17,44.74,2.5251,1920822.18,1000000,10.0,8528.96,sentiment_hybrid_a0p45,hybrid,0.45,2025,10.0,94.8152
99.77,-1.9,39,19,48.72,2.6432,1997734.01,1000000,10.0,8806.15,sentiment_hybrid_a0p5,hybrid,0.5,2025,10.0,104.1064
98.32,-1.9,40,19,47.5,2.6212,1983230.35,1000000,10.0,8991.83,sentiment_hybrid_a0p55,hybrid,0.55,2025,10.0,102.6124
96.99,-2.33,41,19,46.34,2.6008,1969889.77,1000000,10.0,9178.67,sentiment_hybrid_a0p6,hybrid,0.6,2025,10.0,101.02659999999999
96.99,-2.33,41,19,46.34,2.6008,1969889.77,1000000,10.0,9178.67,sentiment_hybrid_a0p7,hybrid,0.7,2025,10.0,101.02659999999999
96.99,-2.33,41,19,46.34,2.6008,1969889.77,1000000,10.0,9178.67,sentiment_hybrid_a0p75,hybrid,0.75,2025,10.0,101.02659999999999
98.48,-2.15,39,20,51.28,2.6236,1984832.44,1000000,10.0,8793.22,sentiment_hybrid_a0p9,hybrid,0.9,2025,10.0,102.65220000000001
98.48,-2.15,39,20,51.28,2.6236,1984832.44,1000000,10.0,8793.22,sentiment_hybrid_a1p0,hybrid,1.0,2025,10.0,102.65220000000001
95.31,-3.4,38,18,47.37,2.5746,1953084.19,1000000,10.0,8561.23,sentiment_hybrid_a1p25,hybrid,1.25,2025,10.0,98.7592
93.38,-3.73,40,18,45.0,2.5452,1933798.82,1000000,10.0,8942.33,sentiment_hybrid_a1p5,hybrid,1.5,2025,10.0,96.6054
90.97,-4.95,39,17,43.59,2.5073,1909683.0,1000000,10.0,8717.99,sentiment_hybrid_a2p0,hybrid,2.0,2025,10.0,93.5096
94.93,-4.52,39,17,43.59,2.5718,1949338.1,1000000,30.0,26323.39,canonical_base,none,,2025,30.0,97.81360000000001
94.42,-4.41,36,16,44.44,2.5638,1944197.23,1000000,30.0,24502.39,sentiment_rerank,rerank,,2025,30.0,97.3426
92.07,-4.82,38,17,44.74,2.5275,1920679.27,1000000,30.0,25635.34,sentiment_hybrid_a0p1,hybrid,0.1,2025,30.0,94.715
92.21,-3.39,36,17,47.22,2.5299,1922133.99,1000000,30.0,24436.12,sentiment_hybrid_a0p2,hybrid,0.2,2025,30.0,95.5748
90.84,-4.5,37,17,45.95,2.5083,1908404.54,1000000,30.0,24996.62,sentiment_hybrid_a0p25,hybrid,0.25,2025,30.0,93.6066
90.84,-4.5,37,17,45.95,2.5083,1908404.54,1000000,30.0,24996.62,sentiment_hybrid_a0p3,hybrid,0.3,2025,30.0,93.6066
88.03,-4.95,36,15,41.67,2.4637,1880258.94,1000000,30.0,24310.18,sentiment_hybrid_a0p35,hybrid,0.35,2025,30.0,90.48240000000001
88.12,-4.91,36,15,41.67,2.4652,1881200.41,1000000,30.0,24313.01,sentiment_hybrid_a0p4,hybrid,0.4,2025,30.0,90.59540000000001
90.45,-4.85,38,17,44.74,2.5022,1904549.78,1000000,30.0,25586.88,sentiment_hybrid_a0p45,hybrid,0.45,2025,30.0,93.02940000000001
98.09,-1.99,39,19,48.72,2.6205,1980907.23,1000000,30.0,26418.44,sentiment_hybrid_a0p5,hybrid,0.5,2025,30.0,102.336
96.6,-1.99,40,19,47.5,2.5978,1966032.2,1000000,30.0,26975.49,sentiment_hybrid_a0p55,hybrid,0.55,2025,30.0,100.80059999999999
95.23,-2.56,41,19,46.34,2.5767,1952324.56,1000000,30.0,27536.02,sentiment_hybrid_a0p6,hybrid,0.6,2025,30.0,99.10340000000001
95.23,-2.56,41,19,46.34,2.5767,1952324.56,1000000,30.0,27536.02,sentiment_hybrid_a0p7,hybrid,0.7,2025,30.0,99.10340000000001
95.23,-2.56,41,19,46.34,2.5767,1952324.56,1000000,30.0,27536.02,sentiment_hybrid_a0p75,hybrid,0.75,2025,30.0,99.10340000000001
96.81,-2.32,39,20,51.28,2.6009,1968067.19,1000000,30.0,26379.65,sentiment_hybrid_a0p9,hybrid,0.9,2025,30.0,100.85180000000001
96.81,-2.32,39,20,51.28,2.6009,1968067.19,1000000,30.0,26379.65,sentiment_hybrid_a1p0,hybrid,1.0,2025,30.0,100.85180000000001
93.68,-3.5,38,18,47.37,2.5521,1936782.9,1000000,30.0,25683.7,sentiment_hybrid_a1p25,hybrid,1.25,2025,30.0,97.03420000000001
