total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,candidate,year,overlay
94.93,-4.52,39,17,43.59,2.5718,1949338.1,1000000,30.0,26323.39,canonical_base,2025,none
93.94,-5.44,41,19,46.34,2.5565,1939391.49,1000000,30.0,27497.07,sentiment_penalty_a5,2025,penalty
89.72,-5.75,40,17,42.5,2.4905,1897220.45,1000000,30.0,26768.44,sentiment_penalty_a10,2025,penalty
89.72,-5.75,40,17,42.5,2.4905,1897220.45,1000000,30.0,26768.44,sentiment_penalty_a20,2025,penalty
89.72,-5.75,40,17,42.5,2.4905,1897220.45,1000000,30.0,26768.44,sentiment_penalty_a50,2025,penalty
90.84,-4.5,37,17,45.95,2.5083,1908404.54,1000000,30.0,24996.62,sentiment_hybrid_a0p25,2025,hybrid
98.09,-1.99,39,19,48.72,2.6205,1980907.23,1000000,30.0,26418.44,sentiment_hybrid_a0p5,2025,hybrid
96.81,-2.32,39,20,51.28,2.6009,1968067.19,1000000,30.0,26379.65,sentiment_hybrid_a1p0,2025,hybrid
89.31,-5.19,39,17,43.59,2.4837,1893064.83,1000000,30.0,26153.98,sentiment_hybrid_a2p0,2025,hybrid
94.42,-4.41,36,16,44.44,2.5638,1944197.23,1000000,30.0,24502.39,sentiment_rerank,2025,rerank
1.33,-10.28,20,7,35.0,0.5769,1013304.5,1000000,30.0,12076.14,canonical_base,2026,none
2.24,-6.8,14,6,42.86,0.8881,1022449.51,1000000,30.0,8492.83,sentiment_penalty_a5,2026,penalty
5.2,-3.94,15,6,40.0,2.0768,1052020.49,1000000,30.0,9183.61,sentiment_penalty_a10,2026,penalty
5.2,-3.94,15,6,40.0,2.0768,1052020.49,1000000,30.0,9183.61,sentiment_penalty_a20,2026,penalty
5.2,-3.94,15,6,40.0,2.0768,1052020.49,1000000,30.0,9183.61,sentiment_penalty_a50,2026,penalty
7.89,-7.55,13,5,38.46,2.416,1078920.55,1000000,30.0,8060.94,sentiment_hybrid_a0p25,2026,hybrid
12.9,-5.82,14,7,50.0,4.2614,1128980.0,1000000,30.0,8813.38,sentiment_hybrid_a0p5,2026,hybrid
6.21,-7.57,14,6,42.86,2.1024,1062144.45,1000000,30.0,8612.27,sentiment_hybrid_a1p0,2026,hybrid
6.93,-5.52,13,6,46.15,2.9277,1069324.67,1000000,30.0,8032.07,sentiment_hybrid_a2p0,2026,hybrid
9.42,-9.6,20,11,55.0,3.3364,1094151.39,1000000,30.0,12319.41,sentiment_rerank,2026,rerank
