date,step,equity,cash,positions_value,open_positions,regime
2022-01-04,0,1000000.0,1000000.0,0.0,0,neutral
2022-01-11,1,1000000.0,1000000.0,0.0,0,neutral
2022-01-18,2,1000000.0,1000000.0,0.0,0,neutral
2022-01-25,3,1000000.0,1000000.0,0.0,0,neutral
2022-02-04,4,1000000.0,1000000.0,0.0,0,risk_off
2022-02-11,5,1000000.0,1000000.0,0.0,0,risk_off
2022-02-18,6,1000000.0,1000000.0,0.0,0,risk_off
2022-02-25,7,1000000.0,900000.0,100000.0,1,neutral
2022-03-07,8,998233.21,800000.0,198233.21,2,neutral
2022-03-15,9,1005154.21,700000.0,305154.21,3,neutral
2022-03-22,10,1019749.74,716725.56,303024.18,3,risk_on
2022-03-29,11,1022740.99,726929.65,295811.34,3,risk_on
2022-04-05,12,1022318.82,626929.65,395389.17,4,risk_on
2022-04-12,13,993282.44,797003.37,196279.06,2,risk_on
2022-04-19,14,1002652.83,697003.37,305649.46,3,neutral
2022-04-26,15,1012839.94,707263.29,305576.65,3,neutral
2022-05-03,16,1013032.46,809292.61,203739.85,2,neutral
2022-05-12,17,1005103.08,1005103.08,0.0,0,risk_off
2022-05-19,18,1005103.08,1005103.08,0.0,0,risk_off
2022-05-26,19,1005103.08,1005103.08,0.0,0,risk_off
2022-06-03,20,1005103.08,1005103.08,0.0,0,risk_off
2022-06-13,21,1005103.08,1005103.08,0.0,0,risk_off
2022-06-20,22,1005103.08,1005103.08,0.0,0,risk_off
2022-06-27,23,1005103.08,1005103.08,0.0,0,risk_off
2022-07-04,24,1005103.08,1005103.08,0.0,0,risk_off
2022-07-11,25,1005103.08,1005103.08,0.0,0,risk_off
2022-07-18,26,1005103.08,905103.08,100000.0,1,neutral
2022-07-25,27,1008905.37,805103.08,203802.28,2,risk_on
2022-08-01,28,1000492.92,797451.09,203041.83,2,risk_on
2022-08-08,29,991520.63,792090.97,199429.66,2,risk_on
2022-08-16,30,1002372.62,692090.97,310281.65,3,risk_on
2022-08-23,31,1000244.6,703855.69,296388.92,3,neutral
2022-08-30,32,1017504.39,813892.23,203612.17,2,neutral
2022-09-06,33,1041109.12,1041109.12,0.0,0,risk_off
2022-09-15,34,1041109.12,1041109.12,0.0,0,risk_off
2022-09-22,35,1041109.12,1041109.12,0.0,0,risk_off
2022-09-29,36,1041109.12,1041109.12,0.0,0,risk_off
2022-10-07,37,1041109.12,1041109.12,0.0,0,risk_off
2022-10-17,38,1041109.12,1041109.12,0.0,0,risk_off
2022-10-24,39,1041109.12,1041109.12,0.0,0,risk_off
2022-10-31,40,1041109.12,941109.12,100000.0,1,neutral
2022-11-07,41,1040740.12,841109.12,199631.0,2,neutral
2022-11-14,42,1050041.88,741109.12,308932.76,3,risk_on
2022-11-21,43,1048763.29,641109.12,407654.16,4,risk_on
2022-11-28,44,1065068.23,753821.43,311246.8,3,risk_on
2022-12-05,45,1088427.79,773009.62,315418.17,3,risk_on
2022-12-12,46,1087852.14,673009.62,414842.52,4,neutral
2022-12-19,47,1090873.84,681042.22,409831.61,4,neutral
2022-12-26,48,1114303.03,807566.04,306736.99,3,neutral
2023-01-03,49,1103374.96,1103374.96,0.0,0,risk_off
2023-01-10,50,1103374.96,1003374.96,100000.0,1,neutral
2023-01-17,51,1102777.06,903374.96,199402.09,2,neutral
2023-01-26,52,1098821.91,896499.03,202322.88,2,risk_on
2023-02-02,53,1108055.62,796499.03,311556.59,3,risk_on
2023-02-09,54,1103053.67,696499.03,406554.64,4,risk_on
2023-02-16,55,1088975.04,690370.0,398605.04,4,risk_on
2023-02-23,56,1088895.29,590370.0,498525.29,5,neutral
2023-03-03,57,1086582.19,490370.0,596212.19,6,neutral
2023-03-10,58,1118898.34,1118898.34,0.0,0,risk_off
2023-03-17,59,1118898.34,1118898.34,0.0,0,risk_off
2023-03-24,60,1118898.34,1118898.34,0.0,0,risk_off
2023-03-31,61,1118898.34,1018898.34,100000.0,1,neutral
2023-04-07,62,1113230.64,1013230.64,100000.0,1,neutral
2023-04-14,63,1121356.67,1021356.67,100000.0,1,risk_on
2023-04-21,64,1121895.75,921356.67,200539.08,2,risk_on
2023-04-28,65,1120051.97,821356.67,298695.3,3,neutral
2023-05-09,66,1112465.71,811563.42,300902.29,3,neutral
2023-05-16,67,1092794.75,1092794.75,0.0,0,risk_off
2023-05-23,68,1092794.75,992794.75,100000.0,1,neutral
2023-05-31,69,1085998.64,985998.64,100000.0,1,neutral
2023-06-08,70,1134210.72,1034210.72,100000.0,1,neutral
2023-06-15,71,1139028.89,934210.72,204818.17,2,risk_on
2023-06-22,72,1144155.08,946665.26,197489.82,2,neutral
2023-06-29,73,1164790.4,1064790.4,100000.0,1,neutral
2023-07-06,74,1154492.73,1054492.73,100000.0,1,neutral
2023-07-13,75,1163353.48,1063353.48,100000.0,1,neutral
2023-07-20,76,1164164.85,963353.48,200811.37,2,neutral
2023-07-27,77,1154672.06,1154672.06,0.0,0,risk_off
2023-08-03,78,1154672.06,1054672.06,100000.0,1,neutral
2023-08-10,79,1158428.32,1158428.32,0.0,0,risk_off
2023-08-18,80,1158428.32,1158428.32,0.0,0,risk_off
2023-08-25,81,1158428.32,1058428.32,100000.0,1,neutral
2023-09-01,82,1153666.42,958428.32,195238.1,2,neutral
2023-09-08,83,1153927.31,858428.32,295498.99,3,neutral
2023-09-15,84,1151364.07,758428.32,392935.74,4,risk_on
2023-09-22,85,1142025.36,1142025.36,0.0,0,risk_off
2023-10-05,86,1142025.36,1142025.36,0.0,0,risk_off
2023-10-13,87,1142025.36,1142025.36,0.0,0,risk_off
2023-10-20,88,1142025.36,1142025.36,0.0,0,risk_off
2023-10-27,89,1142025.36,1142025.36,0.0,0,risk_off
2023-11-03,90,1142025.36,1042025.36,100000.0,1,neutral
2023-11-10,91,1134489.13,1134489.13,0.0,0,risk_off
2023-11-17,92,1134489.13,1034489.13,100000.0,1,risk_on
2023-11-24,93,1134134.52,934489.13,199645.39,2,risk_on
2023-12-01,94,1131585.11,927684.4,203900.71,2,risk_on
2023-12-08,95,1122431.96,920946.81,201485.15,2,risk_on
2023-12-15,96,1126324.67,820946.81,305377.86,3,neutral
2023-12-22,97,1142656.92,830989.55,311667.37,3,neutral
2024-01-03,98,1144935.93,730989.55,413946.38,4,risk_on
2024-01-10,99,1139674.62,725128.42,414546.2,4,risk_on
2024-01-17,100,1162655.56,764237.33,398418.24,4,neutral
2024-01-24,101,1161440.42,664237.33,497203.09,5,neutral
2024-01-31,102,1138438.1,1138438.1,0.0,0,risk_off
2024-02-07,103,1138438.1,1138438.1,0.0,0,risk_off
2024-02-16,104,1138438.1,1038438.1,100000.0,1,risk_on
2024-02-23,105,1137470.98,938438.1,199032.88,2,neutral
2024-03-04,106,1122513.46,927412.95,195100.51,2,neutral
2024-03-11,107,1117336.97,920000.9,197336.08,2,neutral
2024-03-18,108,1126740.28,820000.9,306739.39,3,neutral
2024-03-25,109,1153942.0,850277.13,303664.86,3,neutral
2024-04-01,110,1141502.61,841527.13,299975.47,3,neutral
2024-04-08,111,1131036.62,741527.13,389509.49,4,neutral
2024-04-16,112,1105695.96,1105695.96,0.0,0,risk_off
2024-04-23,113,1105695.96,1105695.96,0.0,0,risk_off
2024-04-30,114,1105695.96,1105695.96,0.0,0,risk_off
2024-05-09,115,1105695.96,1005695.96,100000.0,1,neutral
2024-05-17,116,1115499.89,1015499.89,100000.0,1,risk_on
2024-05-24,117,1125079.72,1025079.72,100000.0,1,neutral
2024-05-31,118,1139258.83,1039258.83,100000.0,1,neutral
2024-06-10,119,1127337.12,1027337.12,100000.0,1,neutral
2024-06-17,120,1119113.43,1019113.43,100000.0,1,neutral
2024-06-24,121,1136227.53,1036227.53,100000.0,1,neutral
2024-07-01,122,1126198.87,1026198.87,100000.0,1,neutral
2024-07-08,123,1118526.92,1118526.92,0.0,0,risk_off
2024-07-15,124,1118526.92,1018526.92,100000.0,1,neutral
2024-07-22,125,1113615.32,918526.92,195088.4,2,neutral
2024-07-29,126,1110824.9,912338.3,198486.6,2,neutral
2024-08-05,127,1084559.95,1084559.95,0.0,0,risk_off
2024-08-12,128,1084559.95,1084559.95,0.0,0,risk_off
2024-08-20,129,1084559.95,984559.95,100000.0,1,neutral
2024-08-27,130,1082300.07,1082300.07,0.0,0,risk_off
2024-09-03,131,1082300.07,982300.07,100000.0,1,risk_on
2024-09-10,132,1074592.56,1074592.56,0.0,0,risk_off
2024-09-20,133,1074592.56,1074592.56,0.0,0,risk_off
2024-09-27,134,1074592.56,974592.56,100000.0,1,neutral
2024-10-08,135,1073074.71,874592.56,198482.15,2,neutral
2024-10-16,136,1070694.61,774592.56,296102.05,3,risk_on
2024-10-23,137,1070401.11,768916.23,301484.88,3,neutral
2024-10-30,138,1065303.07,1065303.07,0.0,0,risk_off
2024-11-06,139,1065303.07,1065303.07,0.0,0,risk_off
2024-11-13,140,1065303.07,1065303.07,0.0,0,risk_off
2024-11-20,141,1065303.07,1065303.07,0.0,0,risk_off
2024-11-27,142,1065303.07,1065303.07,0.0,0,risk_off
2024-12-04,143,1065303.07,1065303.07,0.0,0,risk_off
2024-12-11,144,1065303.07,965303.07,100000.0,1,neutral
2024-12-18,145,1062436.29,865303.07,197133.22,2,neutral
2024-12-26,146,1046189.27,946189.27,100000.0,1,neutral
2025-01-06,147,1045462.0,846189.27,199272.73,2,risk_on
2025-01-13,148,1039429.42,840520.34,198909.09,2,risk_on
2025-01-20,149,1042330.4,740520.34,301810.07,3,neutral
2025-01-31,150,1052975.69,749005.19,303970.5,3,neutral
2025-02-07,151,1058270.68,862607.08,195663.59,2,neutral
2025-02-14,152,1060402.8,762607.08,297795.72,3,neutral
2025-02-21,153,1056101.58,756731.78,299369.8,3,neutral
2025-02-28,154,1046116.79,751299.18,294817.62,3,neutral
2025-03-10,155,1048214.44,651299.18,396915.27,4,neutral
2025-03-17,156,1057044.72,551299.18,505745.54,5,neutral
2025-03-24,157,1046439.42,1046439.42,0.0,0,risk_off
2025-03-31,158,1046439.42,1046439.42,0.0,0,risk_off
2025-04-07,159,1046439.42,1046439.42,0.0,0,risk_off
