name,step,score_threshold,stop_loss_pct,take_profit_pct,max_holding_steps,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,win_rate_pct,final_equity_krw
s10_t65_sl3_tp5_h10,10,65.0,0.03,0.05,10,-6.16,-12.0,-0.9838,70,40.0,938431.3
s10_t65_sl3_tp5_h20,10,65.0,0.03,0.05,20,-6.16,-12.0,-0.9838,70,40.0,938431.3
s10_t65_sl3_tp5_h30,10,65.0,0.03,0.05,30,-6.16,-12.0,-0.9838,70,40.0,938431.3
s10_t65_sl3_tp8_h10,10,65.0,0.03,0.08,10,2.36,-7.56,0.4527,70,38.57,1023602.1
s10_t65_sl3_tp8_h20,10,65.0,0.03,0.08,20,2.36,-7.56,0.4527,70,38.57,1023602.1
s10_t65_sl3_tp8_h30,10,65.0,0.03,0.08,30,2.36,-7.56,0.4527,70,38.57,1023602.1
s10_t65_sl3_tp12_h10,10,65.0,0.03,0.12,10,5.16,-8.08,0.797,70,38.57,1051581.39
s10_t65_sl3_tp12_h20,10,65.0,0.03,0.12,20,5.16,-8.08,0.797,70,38.57,1051581.39
s10_t65_sl3_tp12_h30,10,65.0,0.03,0.12,30,5.16,-8.08,0.797,70,38.57,1051581.39
s10_t65_sl3_tp15_h10,10,65.0,0.03,0.15,10,6.93,-7.96,0.9627,70,38.57,1069269.58
s10_t65_sl3_tp15_h20,10,65.0,0.03,0.15,20,6.93,-7.96,0.9627,70,38.57,1069269.58
s10_t65_sl3_tp15_h30,10,65.0,0.03,0.15,30,6.93,-7.96,0.9627,70,38.57,1069269.58
s10_t65_sl5_tp5_h10,10,65.0,0.05,0.05,10,-2.68,-12.02,-0.3502,70,44.29,973206.19
s10_t65_sl5_tp5_h20,10,65.0,0.05,0.05,20,-2.68,-12.02,-0.3502,70,44.29,973206.19
s10_t65_sl5_tp5_h30,10,65.0,0.05,0.05,30,-2.68,-12.02,-0.3502,70,44.29,973206.19
s10_t65_sl5_tp8_h10,10,65.0,0.05,0.08,10,5.84,-7.63,0.946,70,42.86,1058376.99
s10_t65_sl5_tp8_h20,10,65.0,0.05,0.08,20,5.84,-7.63,0.946,70,42.86,1058376.99
s10_t65_sl5_tp8_h30,10,65.0,0.05,0.08,30,5.84,-7.63,0.946,70,42.86,1058376.99
s10_t65_sl5_tp12_h10,10,65.0,0.05,0.12,10,7.8,-8.22,1.0975,70,42.86,1077983.24
s10_t65_sl5_tp12_h20,10,65.0,0.05,0.12,20,7.8,-8.22,1.0975,70,42.86,1077983.24
s10_t65_sl5_tp12_h30,10,65.0,0.05,0.12,30,7.8,-8.22,1.0975,70,42.86,1077983.24
s10_t65_sl5_tp15_h10,10,65.0,0.05,0.15,10,10.51,-8.09,1.3362,70,42.86,1105114.15
s10_t65_sl5_tp15_h20,10,65.0,0.05,0.15,20,10.51,-8.09,1.3362,70,42.86,1105114.15
s10_t65_sl5_tp15_h30,10,65.0,0.05,0.15,30,10.51,-8.09,1.3362,70,42.86,1105114.15
s10_t65_sl7_tp5_h10,10,65.0,0.07,0.05,10,4.66,-12.15,0.7254,70,50.0,1046617.39
s10_t65_sl7_tp5_h20,10,65.0,0.07,0.05,20,4.66,-12.15,0.7254,70,50.0,1046617.39
s10_t65_sl7_tp5_h30,10,65.0,0.07,0.05,30,4.66,-12.15,0.7254,70,50.0,1046617.39
s10_t65_sl7_tp8_h10,10,65.0,0.07,0.08,10,12.27,-8.16,1.6443,70,47.14,1122670.1
s10_t65_sl7_tp8_h20,10,65.0,0.07,0.08,20,12.27,-8.16,1.6443,70,47.14,1122670.1
s10_t65_sl7_tp8_h30,10,65.0,0.07,0.08,30,12.27,-8.16,1.6443,70,47.14,1122670.1
s10_t65_sl7_tp12_h10,10,65.0,0.07,0.12,10,14.23,-8.71,1.7327,70,47.14,1142276.35
s10_t65_sl7_tp12_h20,10,65.0,0.07,0.12,20,14.23,-8.71,1.7327,70,47.14,1142276.35
s10_t65_sl7_tp12_h30,10,65.0,0.07,0.12,30,14.23,-8.71,1.7327,70,47.14,1142276.35
s10_t65_sl7_tp15_h10,10,65.0,0.07,0.15,10,18.61,-8.46,2.1195,70,47.14,1186092.71
s10_t65_sl7_tp15_h20,10,65.0,0.07,0.15,20,18.61,-8.46,2.1195,70,47.14,1186092.71
s10_t65_sl7_tp15_h30,10,65.0,0.07,0.15,30,18.61,-8.46,2.1195,70,47.14,1186092.71
s10_t65_sl10_tp5_h10,10,65.0,0.1,0.05,10,6.48,-10.67,0.9262,70,51.43,1064761.72
s10_t65_sl10_tp5_h20,10,65.0,0.1,0.05,20,6.48,-10.67,0.9262,70,51.43,1064761.72
s10_t65_sl10_tp5_h30,10,65.0,0.1,0.05,30,6.48,-10.67,0.9262,70,51.43,1064761.72
s10_t65_sl10_tp8_h10,10,65.0,0.1,0.08,10,14.08,-8.57,1.7846,70,48.57,1140814.43
s10_t65_sl10_tp8_h20,10,65.0,0.1,0.08,20,14.08,-8.57,1.7846,70,48.57,1140814.43
s10_t65_sl10_tp8_h30,10,65.0,0.1,0.08,30,14.08,-8.57,1.7846,70,48.57,1140814.43
