name,step,score_threshold,stop_loss_pct,take_profit_pct,max_holding_steps,max_positions,trailing_stop_pct,sizing_mode,min_volume,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,win_rate_pct,final_equity_krw
s5_t60_sl7_tp12_h20_mp3_tr0_flat,5,60.0,0.07,0.12,20,3,0.0,flat,0.0,21.63,-7.38,1.5081,135,41.48,1216343.89
s5_t60_sl7_tp15_h20_mp3_tr0_flat,5,60.0,0.07,0.15,20,3,0.0,flat,0.0,33.51,-7.19,2.1548,126,43.65,1335059.93
s5_t60_sl7_tp20_h20_mp3_tr0_flat,5,60.0,0.07,0.2,20,3,0.0,flat,0.0,32.1,-6.93,1.982,122,40.98,1320958.78
s5_t60_sl7_tp25_h20_mp3_tr0_flat,5,60.0,0.07,0.25,20,3,0.0,flat,0.0,30.31,-6.85,1.8681,115,40.0,1303149.5
s5_t60_sl10_tp12_h20_mp3_tr0_flat,5,60.0,0.1,0.12,20,3,0.0,flat,0.0,24.61,-11.27,1.6614,120,45.83,1246071.74
s5_t60_sl10_tp15_h20_mp3_tr0_flat,5,60.0,0.1,0.15,20,3,0.0,flat,0.0,34.97,-9.41,2.2852,113,47.79,1349686.67
s5_t60_sl10_tp20_h20_mp3_tr0_flat,5,60.0,0.1,0.2,20,3,0.0,flat,0.0,29.95,-9.44,1.9032,106,44.34,1299485.89
s5_t60_sl10_tp25_h20_mp3_tr0_flat,5,60.0,0.1,0.25,20,3,0.0,flat,0.0,23.4,-10.09,1.4994,99,42.42,1233999.78
s5_t60_sl12_tp12_h20_mp3_tr0_flat,5,60.0,0.12,0.12,20,3,0.0,flat,0.0,32.04,-9.93,2.071,113,47.79,1320403.33
s5_t60_sl12_tp15_h20_mp3_tr0_flat,5,60.0,0.12,0.15,20,3,0.0,flat,0.0,36.95,-9.89,2.332,102,48.04,1369489.84
s5_t60_sl12_tp20_h20_mp3_tr0_flat,5,60.0,0.12,0.2,20,3,0.0,flat,0.0,34.52,-10.57,2.1367,99,46.46,1345220.19
s5_t60_sl12_tp25_h20_mp3_tr0_flat,5,60.0,0.12,0.25,20,3,0.0,flat,0.0,28.12,-10.54,1.7543,91,45.05,1281178.17
s5_t60_sl15_tp12_h20_mp3_tr0_flat,5,60.0,0.15,0.12,20,3,0.0,flat,0.0,22.68,-10.97,1.5153,104,46.15,1226777.49
s5_t60_sl15_tp15_h20_mp3_tr0_flat,5,60.0,0.15,0.15,20,3,0.0,flat,0.0,29.58,-10.51,1.8805,94,45.74,1295837.0
s5_t60_sl15_tp20_h20_mp3_tr0_flat,5,60.0,0.15,0.2,20,3,0.0,flat,0.0,27.81,-11.15,1.7283,92,45.65,1278056.31
s5_t60_sl15_tp25_h20_mp3_tr0_flat,5,60.0,0.15,0.25,20,3,0.0,flat,0.0,23.21,-11.03,1.4677,86,44.19,1232138.22
